,titles,dates
71,mlr3proba: An R Package for Machine Learning in Survival Analysis,2020-08-18
72,Mathematical link of evolving aging and complexity,2010-11-12
73,"Comparative Survival Analysis of Deinococcus Radiodurans and the
  Haloarchaea Natrialba Magadii and Haloferax Volcanii, Exposed to Vacuum
  Ultraviolet Irradiation",2011-09-29
74,Causal Inference for Survival Analysis,2018-03-22
75,"Novel Radiomic Feature for Survival Prediction of Lung Cancer Patients
  using Low-Dose CBCT Images",2020-03-07
76,"EPIC-Survival: End-to-end Part Inferred Clustering for Survival
  Analysis, Featuring Prognostic Stratification Boosting",2021-01-26
77,"Breast Cancer Data Analytics With Missing Values: A study on Ethnic, Age
  and Income Groups",2015-03-12
78,"Identifying User Survival Types via Clustering of Censored Social
  Network Data",2017-03-09
79,High-Dimensional Survival Analysis: Methods and Applications,2022-05-05
80,"Deep radiomic features from MRI scans predict survival outcome of
  recurrent glioblastoma",2019-11-15
81,Survival Analysis of Organizational Networks -- An Exploratory Study,2020-05-04
82,"Survival probabilities in biased random walks: To restart or not to
  restart? that is the question",2025-02-10
83,"A Parametric Approach to Relaxing the Independence Assumption in
  Relative Survival Analysis",2021-12-08
84,"EsurvFusion: An evidential multimodal survival fusion model based on
  Gaussian random fuzzy numbers",2024-12-02
85,"Cross-validation and Peeling Strategies for Survival Bump Hunting using
  Recursive Peeling Methods",2015-01-16
86,Survival probability for high mass diffraction,2007-02-05
87,TripleSurv: Triplet Time-adaptive Coordinate Loss for Survival Analysis,2024-01-05
88,"End-to-end Multi-source Visual Prompt Tuning for Survival Analysis in
  Whole Slide Images",2024-09-05
89,"Tackling Small Sample Survival Analysis via Transfer Learning: A Study
  of Colorectal Cancer Prognosis",2025-01-21
90,Learning Genomic Representations to Predict Clinical Outcomes in Cancer,2016-09-27
91,"BDNNSurv: Bayesian deep neural networks for survival analysis using
  pseudo values",2021-01-07
92,"SurvTimeSurvival: Survival Analysis On The Patient With Multiple
  Visits/Records",2023-11-16
93,Heterogeneous Datasets for Federated Survival Analysis Simulation,2023-01-28
94,"Chemotactically induced search and defense strategies in a tritrophic
  system",2022-05-19
95,"Semiparametric analysis of clustered interval-censored survival data
  using Soft Bayesian Additive Regression Trees (SBART)",2020-05-05
96,"Comparison of Baseline Covariate Adjustment Methods for Restricted Mean
  Survival Time",2022-11-01
97,Survival Cluster Analysis,2020-02-29
98,Interpretable Prediction and Feature Selection for Survival Analysis,2024-04-23
99,"SurvHive: a package to consistently access multiple survival-analysis
  packages",2025-02-04
100,BoXHED2.0: Scalable boosting of dynamic survival analysis,2021-03-23
101,Gradient Boosting Survival Tree with Applications in Credit Scoring,2019-08-09
102,Copula-Based Deep Survival Models for Dependent Censoring,2023-06-20
103,"A Flexible Joint Longitudinal-Survival Modeling Framework for
  Incorporating Multiple Longitudinal Biomarkers",2018-07-26
104,"Classification of Titanic Passenger Data and Chances of Surviving the
  Disaster",2018-10-22
105,"Nearest Neighbor and Kernel Survival Analysis: Nonasymptotic Error
  Bounds and Strong Consistency Rates",2019-05-13
106,"Survival functions versus conditional aggregation-based survival
  functions on~discrete~space",2021-03-09
107,Optimal Sparse Survival Trees,2024-01-27
108,Survival Strategies,2008-12-03
109,On null hypotheses in survival analysis,2018-07-01
110,Deep conditional transformation models for survival analysis,2022-10-20
111,"Optimized Design of Survivable MPLS over Optical Transport Networks.
  Optical Switching and Networking",2007-10-21
112,Local and global survival for nonhomogeneous random walk systems on Z,2012-01-16
113,"Analysis of survival data with non-proportional hazards: A comparison of
  propensity score weighted methods",2020-09-02
114,A Nonparametric Statistical Method for Two Crossing Survival Curves,2021-12-20
115,"A framework for leveraging machine learning tools to estimate
  personalized survival curves",2022-11-06
116,Extended Excess Hazard Models for Spatially Dependent Survival Data,2023-02-18
117,"Developing Federated Time-to-Event Scores Using Heterogeneous Real-World
  Survival Data",2024-03-08
118,"Heterogeneous Treatment Effect in Time-to-Event Outcomes: Harnessing
  Censored Data with Recursively Imputed Trees",2025-02-03
119,"Survival modeling using deep learning, machine learning and statistical
  methods: A comparative analysis for predicting mortality after hospital
  admission",2024-03-04
120,"Asymptotic convergence in distribution of the area bounded by
  prevalence-weighted Kaplan-Meier curves using empirical process modeling",2017-01-10
121,Extending the Neural Additive Model for Survival Analysis with EHR Data,2022-11-15
122,"Extreme Value Based Estimation of Critical Single Event Failure
  Probability",2019-09-17
123,"Deep Copula-Based Survival Analysis for Dependent Censoring with
  Identifiability Guarantees",2023-12-24
124,Smooth Transformation Models for Survival Analysis: A Tutorial Using R,2024-02-09
125,Image-based Survival Analysis for Lung Cancer Patients using CNNs,2018-08-29
126,A Heteroscedastic Accelerated Failure Time Model for Survival Analysis,2015-08-20
127,How real is the random censorship model in medical studies?,2017-02-27
128,"Ensemble representation learning: an analysis of fitness and survival
  for wrapper-based genetic programming methods",2017-03-20
129,Accelerating invasions along an environmental gradient,2019-03-01
130,"Towards modelling hazard factors in unstructured data spaces using
  gradient-based latent interpolation",2021-10-21
131,"MPVNN: Mutated Pathway Visible Neural Network Architecture for
  Interpretable Prediction of Cancer-specific Survival Risk",2022-02-02
132,Bayesian Survival Analysis Using the rstanarm R Package,2020-02-22
133,"A Differentially Private Kaplan-Meier Estimator for Privacy-Preserving
  Survival Analysis",2024-12-06
134,"Survival Seq2Seq: A Survival Model based on Sequence to Sequence
  Architecture",2022-04-09
135,NSOTree: Neural Survival Oblique Tree,2023-09-25
136,Charmonium systems after the deconfinement transition,2004-03-16
137,A quantile regression estimator for censored data,2013-02-01
138,"The Mutating Contact Process: Model Introduction and Qualitative
  Analysis of Phase Transitions in its Survival",2018-01-04
139,On harmonic oscillator hazard functions,2024-08-28
140,Machine Learning for Survival Analysis: A Survey,2017-08-15
141,"Estimating marginal survival function by adjusting for dependent
  censoring using many covariates",2004-09-10
142,"Pre-perihelion photometric behavior of comet C/2012 S1 (ISON) and its
  future prospect",2013-11-12
143,Survivability of Deterministic Dynamical Systems,2015-06-03
144,Inference for the Mann-Whitney Effect for Right-Censored and Tied Data,2016-05-16
145,"Learning Rich Geographical Representations: Predicting Colorectal Cancer
  Survival in the State of Iowa",2017-08-15
146,"Multilevel mixed effects parametric survival analysis: Estimation,
  simulation and application",2017-09-19
147,Efficient Estimation for Dimension Reduction with Censored Data,2017-10-15
148,"Nonparametric estimation of conditional cure models for heavy-tailed
  distributions and under insufficient follow-up",2019-09-18
149,Enabling Counterfactual Survival Analysis with Balanced Representations,2020-06-14
150,Survival probability of the Grover walk on the ladder graph,2022-05-26
151,"A general Bayesian bootstrap for censored data based on the beta-Stacy
  process",2020-02-10
152,"Predicting Kidney Transplant Survival using Multiple Feature
  Representations for HLAs",2021-03-04
153,"A Retrospective Analysis using Deep-Learning Models for Prediction of
  Survival Outcome and Benefit of Adjuvant Chemotherapy in Stage II/III
  Colorectal Cancer",2021-11-05
154,"Stratified modestly-weighted log-rank tests in settings with an
  anticipated delayed separation of survival curves",2022-01-25
155,"Determinants of Patent Survival in Emerging Economies: Evidence from
  Residential Patents in India",2022-08-10
156,SurvLIMEpy: A Python package implementing SurvLIME,2023-02-21
157,"Supervised Machine Learning for Breast Cancer Risk Factors Analysis and
  Survival Prediction",2023-04-13
158,Neural Fine-Gray: Monotonic neural networks for competing risks,2023-05-11
159,Optimal Survival Trees: A Dynamic Programming Approach,2024-01-09
160,"Model Identifiability for Bivariate Failure Time Data with Competing
  Risk: Non-parametric Cause-specific Hazards and Gamma Frailty",2024-05-13
161,"Estimating Heterogenous Treatment Effects for Survival Data with Doubly
  Doubly Robust Estimator",2024-09-02
162,"Survivable MPLS Over Optical Transport Networks: Cost and Resource Usage
  Analysis",2007-10-23
163,A General Approach for Cure Models in Survival Analysis,2017-01-13
164,"Gene-based Association Analysis for Bivariate Time-to-event Data through
  Functional Regression with Copula Models",2019-04-01
165,"Programmed death ligand 1 expression levels, clinicopathologic features,
  and survival in surgically resected sarcomatoid lung carcinoma",2020-11-08
166,"SurvAttack: Black-Box Attack On Survival Models through
  Ontology-Informed EHR Perturbation",2024-12-24
167,Statistics of extinction and survival in Lotka-Volterra systems,1998-05-15
168,Waiting times between orders and trades in double-auction markets,2006-08-28
169,Brownian survival and Lifshitz tail in perturbed lattice disorder,2008-07-16
170,Gene Co-expression Network analysis of Lung Squamous Cell Carcinoma data,2018-04-04
171,Hazard Gradient Penalty for Survival Analysis,2022-05-27
172,Evidence synthesis with reconstructed survival data,2022-01-02
173,"DNAMite: Interpretable Calibrated Survival Analysis with Discretized
  Additive Models",2024-11-08
174,"AdvMIL: Adversarial Multiple Instance Learning for the Survival Analysis
  on Whole-Slide Images",2022-12-13
175,"Effect of inertia on the evasion and pursuit dynamics of prey swarms and
  the emergence of an optimal mass ratio for the predator-prey arms race",2022-08-25
176,Pseudo-Observations for Bivariate Survival Data,2024-12-05
177,Research Reproducibility as a Survival Analysis,2020-12-17
178,"Personalized Survival Predictions for Cardiac Transplantation via Trees
  of Predictors",2017-04-11
179,PHP code smells in web apps: survival and anomalies,2020-12-31
180,Analysis of MRI Biomarkers for Brain Cancer Survival Prediction,2021-09-03
181,"Asymptotic behavior of the unconditional NPMLE of the length-biased
  survivor function from right censored prevalent cohort data",2006-02-11
182,"A Pan-Cancer and Polygenic Bayesian Hierarchical Model for the Effect of
  Somatic Mutations on Survival",2019-10-08
183,"Mixture survival models methodology: an application to cancer
  immunotherapy assessment in clinical trials",2019-11-21
184,"EOCSA: Predicting Prognosis of Epithelial Ovarian Cancer with Whole
  Slide Histopathological Images",2022-10-11
185,"Deep Learning for Cancer Prognosis Prediction Using Portrait Photos by
  StyleGAN Embedding",2023-06-26
186,"Towards Clinical Prediction with Transparency: An Explainable AI
  Approach to Survival Modelling in Residential Aged Care",2023-12-01
187,"SurvBETA: Ensemble-Based Survival Models Using Beran Estimators and
  Several Attention Mechanisms",2024-12-10
188,Metaparametric Neural Networks for Survival Analysis,2021-10-13
189,"Using Geographic Location-based Public Health Features in Survival
  Analysis",2023-04-16
190,"Causal survival analysis, Estimation of the Average Treatment Effect
  (ATE): Practical Recommendations",2025-01-10
191,Deep Recurrent Survival Analysis,2018-09-07
192,"An application of survival analysis to disruption prediction via Random
  Forests",2019-07-09
193,"Temporal Pattern Mining for Analysis of Longitudinal Clinical Data:
  Identifying Risk Factors for Alzheimer's Disease",2022-09-11
194,"Adversarial and Amiable Inference in Medical Diagnosis, Reliability, and
  Survival Analysis",2017-01-12
195,Deep Cox Mixtures for Survival Regression,2021-01-16
196,"BERTSurv: BERT-Based Survival Models for Predicting Outcomes of Trauma
  Patients",2021-03-19
197,"SAVAE: Leveraging the variational Bayes autoencoder for survival
  analysis",2023-12-22
198,"Efficient Training of Probabilistic Neural Networks for Survival
  Analysis",2024-04-09
199,Playtime Measurement with Survival Analysis,2017-01-04
200,"A Deep Active Survival Analysis Approach for Precision Treatment
  Recommendations: Application of Prostate Cancer",2018-04-10
201,SurvTRACE: Transformers for Survival Analysis with Competing Events,2021-10-02
202,Survival Concept-Based Learning Models,2025-02-09
203,"Survival analysis for user disengagement prediction:
  question-and-answering communities' case",2022-03-29
204,"SurvCORN: Survival Analysis with Conditional Ordinal Ranking Neural
  Network",2024-09-30
205,A stochastic evolutionary model for survival dynamics,2014-01-23
206,"Practical survival analysis tools for heterogeneous cohorts and
  informative censoring",2015-11-21
207,SAFE: A Neural Survival Analysis Model for Fraud Early Detection,2018-09-12
208,"A fully likelihood-based approach to model survival data with crossing
  survival curves",2019-10-06
209,"Deep Generative Survival Analysis: Nonparametric Estimation of
  Conditional Survival Function",2022-05-19
210,"Analysis and sample size calculation within the responder stratified
  exponential survival model",2022-05-23
211,Variable selection for nonlinear Cox regression model via deep learning,2022-11-17
212,FPBoost: Fully Parametric Gradient Boosting for Survival Analysis,2024-09-20
213,The Odyssey of the Fittest: Can Agents Survive and Still Be Good?,2025-02-08
214,Bayesian survival analysis with BUGS,2020-05-12
215,A Survival Analysis of the Duration of Olympic Records,2012-07-25
216,Survival analysis as a classification problem,2019-09-24
217,"Survival Analysis for Idiopathic Pulmonary Fibrosis using CT Images and
  Incomplete Clinical Data",2022-03-21
218,"Real-time Mortality Prediction Using MIMIC-IV ICU Data Via Boosted
  Nonparametric Hazards",2021-10-17
219,"Survival-oriented embeddings for improving accessibility to complex data
  structures",2021-10-21
220,"Influence of different factors on survival of patients with colorectal
  cancer",2022-02-05
221,"Maximum Likelihood Estimation of Flexible Survival Densities with
  Importance Sampling",2023-11-03
222,"Feed-Forward Panel Estimation for Discrete-time Survival Analysis of
  Recurrent Events with Frailty",2024-10-25
223,Fairness in Survival Analysis with Distributionally Robust Optimization,2024-08-31
224,"Nonparametric Bayesian Inference for Mean Residual Life Functions in
  Survival Analysis",2014-11-27
225,"An Unified Semiparametric Approach to Model Lifetime Data with Crossing
  Survival Curves",2019-10-10
226,"Survival trees for right-censored data based on score based parameter
  instability test",2020-06-27
227,Probability Link Models with Symmetric Information Divergence,2020-08-10
228,"Whole Slide Images based Cancer Survival Prediction using Attention
  Guided Deep Multiple Instance Learning Networks",2020-09-23
229,"Dynamic prediction and analysis based on restricted mean survival time
  in survival analysis with nonproportional hazards",2021-06-20
230,SurvivalGAN: Generating Time-to-Event Data for Survival Analysis,2023-02-24
231,On a fundamental problem in the analysis of cancer registry data,2023-03-16
232,Survival Prediction Across Diverse Cancer Types Using Neural Networks,2024-04-11
233,"A probabilistic estimation of remaining useful life from censored
  time-to-event data",2024-05-02
234,"Predicting Deterioration in Mild Cognitive Impairment with Survival
  Transformers, Extreme Gradient Boosting and Cox Proportional Hazard Modelling",2024-09-24
235,"A Multiparty Homomorphic Encryption Approach to Confidential Federated
  Kaplan Meier Survival Analysis",2024-12-29
236,"Contrastive Learning of Temporal Distinctiveness for Survival Analysis
  in Electronic Health Records",2023-08-24
237,Analysis of the survival time of the SIRS process via expansion,2022-05-05
238,"Blended Survival Curves: A New Approach to Extrapolation for
  Time-to-Event Outcomes from Clinical Trial in Health Technology Assessment",2022-06-01
239,"A new semi-parametric family of probability distributions for survival
  analysis",2011-07-20
240,"Continuous-Time, Discrete-Event Simulation from Counting Processes",2016-10-13
241,Sesqui-type branching processes,2017-06-01
242,"Deep Neural Networks for Survival Analysis Based on a Multi-Task
  Framework",2018-01-17
243,Analysis and applications of the residual varentropy of random lifetimes,2020-03-10
244,Survival Analysis with Graph-Based Regularization for Predictors,2021-08-29
245,Review for Dynamic Prediction in Clinical Survival Analysis,2023-11-27
246,Explainable AI for survival analysis: a median-SHAP approach,2024-01-30
247,"Feature Selection for Survival Analysis with Competing Risks using Deep
  Learning",2018-11-22
248,"Joint analysis of clinical risk factors and 4D cardiac motion for
  survival prediction using a hybrid deep learning network",2019-10-07
249,"Deriving Enhanced Geographical Representations via Similarity-based
  Spectral Analysis: Predicting Colorectal Cancer Survival Curves in Iowa",2018-09-06
250,"Survivable Routing in IP-over-WDM Networks in the Presence of Multiple
  Failures",2006-04-12
251,Correlated Node Behavior Model based on Semi Markov Process for MANETS,2012-03-20
252,A stochastic evolutionary model for capturing human dynamics,2015-02-26
253,"Bayesian Nonparametric Survival Analysis using mixture of Burr XII
  distributions",2016-12-23
254,"Non-parametric cure rate estimation under insufficient follow-up using
  extremes",2018-04-04
255,"Survival Dynamical Systems for the Population-level Analysis of
  Epidemics",2019-01-02
256,Multiplicative deconvolution in survival analysis under dependency,2021-07-12
257,"AMMASurv: Asymmetrical Multi-Modal Attention for Accurate Survival
  Analysis with Whole Slide Images and Gene Expression Data",2021-08-28
258,"DAGSurv: Directed Acyclic Graph Based Survival Analysis Using Deep
  Neural Networks",2021-11-02
259,"Avoiding C-hacking when evaluating survival distribution predictions
  with discrimination measures",2021-12-09
260,KL-divergence Based Deep Learning for Discrete Time Model,2022-08-10
261,Bayesian Nonparametric Erlang Mixture Modeling for Survival Analysis,2022-11-16
262,Estimation of Time-to-Total Knee Replacement Surgery,2024-04-29
263,"Comparing Lasso and Adaptive Lasso in High-Dimensional Data: A Genetic
  Survival Analysis in Triple-Negative Breast Cancer",2024-06-27
264,Functional Linear Cox Regression Model with Frailty,2025-01-13
265,"Churn Prediction in Mobile Social Games: Towards a Complete Assessment
  Using Survival Ensembles",2017-10-06
266,"End-Stage Liver Disease Comorbidities in Patients Awaiting
  Transplantation: Identification and Impact on Liver Transplant Survival",2024-10-15
267,A Closer Look at Mortality Risk Prediction from Electrocardiograms,2024-06-24
268,"The network survival method for estimating adult mortality: Evidence
  from a survey experiment in Rwanda",2016-03-28
269,"Gaussian process regression for survival time prediction with
  genome-wide gene expression",2018-08-30
270,"Multi-Omic Data Integration and Feature Selection for Survival-based
  Patient Stratification via Supervised Concrete Autoencoders",2022-06-21
271,"Conditioning on Time is All You Need for Synthetic Survival Data
  Generation",2024-05-27
272,"Fast variational Bayesian inference for correlated survival data: an
  application to invasive mechanical ventilation duration analysis",2024-07-31
273,A surviving disk from a galaxy collision at z=0.4,2009-04-09
274,"General Analysis of Type I Planetary Migration with Stochastic
  Perturbations",2009-06-22
275,"Effects of growth rate, size, and light availability on tree survival
  across life stages: a demographic analysis accounting for missing values and
  small sample sizes",2015-01-30
276,spBayesSurv: Fitting Bayesian Spatial Survival Models Using R,2017-05-10
277,Survivability of a metapopulation under local extinctions,2017-12-21
278,An Ensemble Method for Interval-Censored Time-to-Event Data,2019-01-14
279,"Metrics to find a surrogate endpoint of OS in metastatic oncology
  trials: a simulation study",2021-09-08
280,"Examining properness in the external validation of survival models with
  squared and logarithmic losses",2022-12-10
281,"Analysis of dynamic restricted mean survival time based on
  pseudo-observations",2023-06-24
282,Optimal Survival Analyses With Prevalent and Incident Patients,2024-03-22
283,"A Large-Scale Neutral Comparison Study of Survival Models on
  Low-Dimensional Data",2024-06-06
284,A Multi-parameter regression model for interval censored survival data,2019-01-28
285,A sufficient condition on successful invasion by the predator,2023-06-01
286,A Tutorial on Statistical Models Based on Counting Processes,2022-09-30
287,"Cohort-Individual Cooperative Learning for Multimodal Cancer Survival
  Analysis",2024-04-03
288,"Multimodal Cross-Task Interaction for Survival Analysis in Whole Slide
  Pathological Images",2024-06-25
289,Generalized contact process on random environments,2002-02-26
290,Charged Lepton Oscillations and (g-2) Measurements,1996-12-08
291,Phenomenological Theory of Survival,2001-03-29
292,Spreadsheets and Long Term Corporate Survival,2012-07-08
293,"merlin - a unified modelling framework for data analysis and methods
  development in Stata",2018-06-05
294,Deep Learning for Survival Outcomes,2019-04-23
295,"Inferring median survival differences in general factorial designs via
  permutation tests",2020-06-25
296,Regression discontinuity design with right-censored survival data,2022-10-05
297,"High-dimensional iterative variable selection for accelerated failure
  time models",2023-04-24
298,A discrete-time survival model to handle interval-censored covariates,2024-08-14
299,Doubly Robust Conformalized Survival Analysis with Right-Censored Data,2024-12-12
300,"Spatial survival probability for one-dimensional fluctuating interfaces
  in the steady state",2005-09-05
301,"Consequences of the Factorization Hypothesis in pbar p, pp, gamma p and
  gamma gamma Collisions",2000-12-28
302,High-dimensional variable selection for Cox's proportional hazards model,2010-02-17
303,Can a Lamb Reach a Haven Before Being Eaten by Diffusing Lions?,2012-03-14
304,"Posterior Consistency for a Non-parametric Survival Model under a
  Gaussian Process Prior",2016-11-07
305,"Joint analysis of Borexino and SNO solar neutrino data and
  reconstruction of the survival probability",2017-09-18
306,"Transformation of intermediate times in the decays of moving unstable
  quantum systems via the exponential modes",2019-02-14
307,DeepHazard: neural network for time-varying risks,2020-07-26
308,"A general kernel boosting framework integrating pathways for predictive
  modeling based on genomic data",2020-08-26
309,"On $\mathbf{2\times2}$ determinants originating from survival
  probabilities in homogeneous discrete time risk model",2021-02-13
310,"Joint Modeling of Longitudinal and Survival Data with Censored
  Single-index Varying Coefficient Models",2021-07-09
311,"Survival probability of random walks and Lévy flights with stochastic
  resetting",2022-04-15
312,Subcritical epidemics on random graphs,2022-05-07
313,Human mortality at extreme age,2020-01-13
314,"Analyzing differences between restricted mean survival time curves using
  pseudo-values",2020-10-30
315,"Parmsurv: a SAS Macro for Flexible Parametric Survival Analysis with
  Long-Term Predictions",2021-06-26
316,"A Bayesian Survival Model for Time-Varying Coefficients and Unobserved
  Heterogeneity",2022-06-22
317,Generalised Lotka-Volterra model with hierarchical interactions,2022-08-02
318,Predicting Survival of Tongue Cancer Patients by Machine Learning Models,2022-12-23
319,"Neural Frailty Machine: Beyond proportional hazard assumption in neural
  survival regressions",2023-03-18
320,An Effective Meaningful Way to Evaluate Survival Models,2023-06-01
321,"Invisible hand and arbitrage equilibrium in the self-organizing dynamics
  of pattern formation in ecological systems",2023-12-10
322,"Copula-based semiparametric nonnormal transformed linear model for
  survival data with dependent censoring",2024-06-05
323,"Bayesian competing risks survival modeling for assessing the cause of
  death of patients with heart failure",2024-09-24
324,"First-passage times to a fractal boundary: local persistence exponent
  and its log-periodic oscillations",2024-10-01
325,"Toward a Well-Calibrated Discrimination via Survival Outcome-Aware
  Contrastive Learning",2024-10-15
326,"A two-sample comparison of mean survival times of uncured
  sub-populations",2023-07-06
327,"Product-limit estimators of the gap time distribution of a renewal
  process under different sampling patterns",2010-02-28
328,"""Selfish"" algorithm for optimizing the network survivability analysis",2012-03-22
329,"Predicting Time-to-conversion for Dementia of Alzheimer's Type using
  Multi-modal Deep Survival Analysis",2022-05-02
330,"Uncovering life-course patterns with causal discovery and survival
  analysis",2020-01-30
331,CenTime: Event-Conditional Modelling of Censoring in Survival Analysis,2023-09-07
332,Dimension reduction for integrative survival analysis,2021-08-04
333,X-CAL: Explicit Calibration for Survival Analysis,2021-01-13
334,Multimodal Learning for Non-small Cell Lung Cancer Prognosis,2022-11-07
335,Time-Dependent Random Walks and the Theory of Complex Adaptive Systems,2002-12-03
336,Survival in equilibrium step fluctuations,2003-07-03
337,"Financial Valuation of Mortality Risk via the Instantaneous Sharpe
  Ratio: Applications to Pricing Pure Endowments",2007-05-09
338,Consistency of Random Survival Forests,2008-11-18
339,Higgs boson photoproduction at the LHC,2011-01-28
340,"Hadron Formation in Relativistic Nuclear Collisions and the QCD Phase
  Diagram",2012-12-11
341,Bayes linear kinematics in a dynamic Bayesian survival model,2014-11-10
