,titles,dates
113,"Near Threshold Computation of Partitioned Ring Learning With Error
  (RLWE) Post Quantum Cryptography on Reconfigurable Architecture",2022-08-17
114,"Optimization of Radiation Therapy Fractionation Schedules in the
  Presence of Tumor Repopulation",2013-12-05
115,No H_0 Assistance from Assisted Quintessence,2021-03-08
116,Accelerating Diffusion Models with One-to-Many Knowledge Distillation,2024-10-05
117,Magnetar Outbursts from Avalanches of Hall Waves and Crustal Failures,2016-06-15
118,"Apply VGGNet-based deep learning model of vibration data for prediction
  model of gravity acceleration equipment",2020-05-22
119,Metallized Film Capacitor Lifetime Evaluation and Failure Mode Analysis,2016-07-06
120,"Allegro-Legato: Scalable, Fast, and Robust Neural-Network Quantum
  Molecular Dynamics via Sharpness-Aware Minimization",2023-03-14
121,"Semiparametric Piecewise Accelerated Failure Time Model for the Analysis
  of Immune-Oncology Clinical Trials",2024-07-24
122,"A Bayesian accelerated failure time model for interval censored
  three-state screening outcomes",2021-10-06
123,"Using Online Customer Reviews to Classify, Predict, and Learn about
  Domestic Robot Failures",2022-01-10
124,"Gazing at Failure: Investigating Human Gaze in Response to Robot Failure
  in Collaborative Tasks",2025-02-24
125,Characterizing User and Provider Reported Cloud Failures,2021-10-23
126,"Multi-modal Heart Failure Risk Estimation based on Short ECG and Sampled
  Long-Term HRV",2024-03-01
127,Bayesian survival analysis with BUGS,2020-05-12
128,Revisiting the predictability of the Haicheng and Tangshan earthquakes,2020-02-03
129,"The critical earthquake concept applied to mine rockbursts with
  time-to-failure analysis",2000-01-28
130,Degradation Modeling and Prognostic Analysis Under Unknown Failure Modes,2024-02-29
131,"Bayesian semiparametric inference for multivariate
  doubly-interval-censored data",2011-01-07
132,"First muon acceleration and muon linear accelerator for measuring the
  muon anomalous magnetic moment and electric dipole moment",2022-04-04
133,"A Non-intrusive Failure Prediction Mechanism for Deployed Optical
  Networks",2021-01-17
134,"A Mixed-Methods Approach to Understanding User Trust after Voice
  Assistant Failures",2023-03-01
135,"Predicting IoT Device Vulnerability Fix Times with Survival and Failure
  Time Models",2025-01-05
136,"Single Event Effects Assessment of UltraScale+ MPSoC Systems under
  Atmospheric Radiation",2023-02-21
137,"Minerva: Decentralized Collaborative Query Processing over
  InterPlanetary File System",2023-10-06
138,Asymptotic efficiency of restart and checkpointing,2018-02-21
139,"Realistic time-scale fully atomistic simulations of surface nucleation
  of dislocations in pristine nanopillars",2012-02-22
140,"Accelerated Lifetime Testing and Analysis of Delta-doped Silicon Test
  Structures",2021-10-22
141,"Proposal of Real Time Predictive Maintenance Platform with 3D Printer
  for Business Vehicles",2016-11-29
142,"Predicting Failure times for some Unobserved Events with Application to
  Real-Life Data",2022-07-31
143,Beam Switching and Beam Feedback Systems at KEKB Linac,2000-08-18
144,Super-exponential growth of epidemics in networks with cliques,2025-01-04
145,"Driver Behavior Post Cannabis Consumption: A Driving Simulator Study in
  Collaboration with Montgomery County Maryland",2021-12-22
146,"A copula-based boosting model for time-to-event prediction with
  dependent censoring",2022-10-10
147,"The Fusion of Deep Reinforcement Learning and Edge Computing for
  Real-time Monitoring and Control Optimization in IoT Environments",2024-02-28
148,"Real-Time Hybrid Simulation for Infrastructure Degradation Assessment:
  Conceptual Framework and Illustrative Application",2024-04-02
149,Survival regression with accelerated failure time model in XGBoost,2020-06-08
150,"Characterizing quantile-varying covariate effects under the accelerated
  failure time model",2023-01-08
151,"Hypothetical Treatment Accelerations: Estimating Causal Effects of
  Kidney Transplants from Observational Data",2022-07-16
152,Dark Energy and Modified Gravity,2008-11-25
153,The failures of the standard model of cosmology require a new paradigm,2013-01-16
154,"Identifying Critical States by the Action-Based Variance of Expected
  Return",2020-08-26
155,"FasterDiT: Towards Faster Diffusion Transformers Training without
  Architecture Modification",2024-10-14
156,Bayesian survival analysis with INLA,2022-12-04
157,A network-constrain Weibull AFT model for biomarkers discovery,2024-02-28
158,"DéjàVu: KV-cache Streaming for Fast, Fault-tolerant Generative LLM
  Serving",2024-03-04
159,"Exploring Effects of Computational Parameter Changes to Image
  Recognition Systems",2022-11-01
160,"Network Capability in Localizing Node Failures via End-to-end Path
  Measurements",2015-09-21
161,Spatio-temporal propagation of cascading overload failures,2015-09-10
162,"A hybrid Finite Element and Material Point Method for modeling
  liquefaction-induced tailings dam failures",2024-12-11
163,Late time failure of Friedmann equation,2005-03-31
164,"Theory of self-similar oscillatory finite-time singularities in Finance,
  Population and Rupture",2001-06-04
165,Towards Landslide Predictions: Two Case Studies,2003-05-16
166,The energy spectrum of ultraheavy nuclei above 10$^{20}$ eV,2017-07-08
167,Survival Analysis of Organizational Networks -- An Exploratory Study,2020-05-04
168,"Connecting Surrogate Safety Measures to Crash Probablity via Causal
  Probabilistic Time Series Prediction",2022-10-04
169,"Naturalistic yielding behavior of drivers at an unsignalized
  intersection based on survival analysis",2023-07-20
170,"Stabilized Adaptive Steering for 3D Sonar Microphone Arrays with IMU
  Sensor Fusion",2024-06-10
171,"A computational toy model for shallow landslides: Molecular Dynamics
  approach",2012-08-30
172,"Mediation Analysis for Censored Survival Data under an Accelerated
  Failure Time Model",2016-08-17
173,"Analysis of Unobserved Heterogeneity via Accelerated Failure Time Models
  Under Bayesian and Classical Approaches",2017-09-08
174,"Characterizing and Improving the Resilience of Accelerators in
  Autonomous Robots",2021-10-17
175,"Towards Power Efficient DNN Accelerator Design on Reconfigurable
  Platform",2021-02-13
176,"Scalable algorithms for semiparametric accelerated failure time models
  in high dimensions",2021-04-04
177,$\ell_0$-Regularized High-dimensional Accelerated Failure Time Model,2020-02-09
178,"Disentangled Causal Graph Learning for Online Unsupervised Root Cause
  Analysis",2023-05-18
179,"A general model-checking procedure for semiparametric accelerated
  failure time models",2023-05-19
180,"Twisted acceleration-enlarged Newton-Hooke space-times and breaking
  classical symmetry phenomena",2012-01-25
181,"Asymptotic Behavior of Total Times For Jobs That Must Start Over If a
  Failure Occurs",2007-06-04
182,An Exploratory Study of Field Failures,2017-08-30
183,"How Bad Can a Bug Get? An Empirical Analysis of Software Failures in the
  OpenStack Cloud Computing Platform",2019-07-09
184,"DyFraNet: Forecasting and Backcasting Dynamic Fracture Mechanics in
  Space and Time Using a 2D-to-3D Deep Neural Network",2022-11-15
185,"Unpacking Failure Modes of Generative Policies: Runtime Monitoring of
  Consistency and Progress",2024-10-06
186,Structured psychosocial stress and therapeutic failure,2003-10-07
187,Efficient failure probability calculation through mesh refinement,2015-09-22
188,Survival Data Simulation With the R Package rsurv,2024-06-03
189,"Influence of Pedestrian Collision Warning Systems on Driver Behavior: A
  Driving Simulator Study",2021-12-14
190,"Gaussian process regression for survival time prediction with
  genome-wide gene expression",2018-08-30
191,"Damage Rate Laws and Failure Statistics for Lumped Coupled-Field Systems
  via Averaging",2023-12-28
192,"Modeling Soft-Failure Evolution for Triggering Timely Repair with Low
  QoT Margins",2022-08-30
193,Fuzzy Logic-based Robust Failure Handling Mechanism for Fog Computing,2021-03-10
194,"Survival and lifetime data analysis with a flexible class of
  distributions",2015-11-05
195,"Partial Identification and Inference in Duration Models with Endogenous
  Censoring",2021-07-02
196,Real-time SIL Emulation Architecture for Cooperative Automated Vehicles,2021-11-20
197,"Deep Learning Models for UAV-Assisted Bridge Inspection: A YOLO
  Benchmark Analysis",2024-11-07
198,"Data-Driven Interaction Analysis of Line Failure Cascading in Power Grid
  Networks",2021-12-02
199,Rational Uniform Consensus with General Omission Failures,2022-08-16
200,A model of actors and grey failures,2022-10-31
201,Multimodal Detection and Identification of Robot Manipulation Failures,2023-05-08
202,"Test Generation Strategies for Building Failure Models and Explaining
  Spurious Failures",2023-12-09
203,"Sensor-fusion based Prognostics Framework for Complex Engineering
  Systems Exhibiting Multiple Failure Modes",2024-11-19
204,FPBoost: Fully Parametric Gradient Boosting for Survival Analysis,2024-09-20
205,"Accelerated Monte Carlo estimation of failure probabilities in output of
  monotone computer codes",2010-12-05
206,"Holographic Stress Tensor for Kerr-AdS Black Holes and Local Failure on
  IR-UV Connection",2000-05-26
207,"A bivariate two-state Markov modulated Poisson process for failure
  modelling",2024-01-26
208,"Optimization of On-condition Thresholds for a System of Degrading
  Components with Competing Dependent Failure Processes",2019-01-22
209,"Experimental evidence of accelerated seismic release without critical
  failure in acoustic emissions of compressed nanoporous materials",2018-03-25
210,"Reliability Analysis of Systems Subject To Mutually Dependent Competing
  Failure Processes With Changing Degradation Rate",2019-02-28
211,A Cost-Aware Approach to Adversarial Robustness in Neural Networks,2024-09-11
212,"A New Causal Approach to Account for Treatment Switching in Randomized
  Experiments under a Structural Cumulative Survival Model",2021-03-22
213,"DeltaNN: Assessing the Impact of Computational Environment Parameters on
  the Performance of Image Recognition Models",2023-06-05
214,The chain of quantum mechanics equations,2018-01-10
215,Probability of Failure in Hypersonic Engines Using Large Deviations,2012-08-24
216,"Monotonicity Failure in Ranked Choice Voting -- Necessary and Sufficient
  Conditions for 3-Candidate Elections",2023-09-18
217,"Non-Markovian recovery makes complex networks more resilient against
  large-scale failures",2019-02-20
218,Learning logic programs by explaining their failures,2021-02-18
219,Solvability-Based Comparison of Failure Detectors,2014-07-11
220,"Modelling project failure and its mitigation in a time-stamped network
  of interrelated tasks",2018-10-17
221,"Development of an Accelerated Test Methodology to the Predict Service
  Life of Polymeric Materials Subject to Outdoor Weathering",2017-05-08
222,"Robust statistical inference for accelerated life-tests with one-shot
  devices under log-logistic distributions",2025-02-27
223,Log-Periodic Precursors to Volcanic Eruptions: Evidence from 34 Events,2025-02-28
224,"Classification Algorithm for High Dimensional Protein Markers in
  Time-course Data",2019-07-30
225,"Dynamics under radiation damping from ab-initio formalism -nonlocal
  restraint on acceleration runaway in electrodynamics",2005-07-12
226,How a simple pendulum inside a running elevator oscillates,2024-08-16
227,Fast Distance Sensitivity Oracle for Multiple Failures,2018-06-16
228,"Backward Causation in Complex Action Model --- Superdeterminism and
  Transactional Interpretations",2010-08-03
229,"Semiparametric Approach for Regression with Covariate Subject to Limit
  of Detection",2014-12-05
230,A Case for Lifetime Reliability-Aware Neuromorphic Computing,2020-07-04
231,Broken Adaptive Ridge Regression for Right-Censored Survival Data,2020-11-27
232,"A Novel MDP Based Decision Support Framework to Restore Earthquake
  Damaged Distribution Systems",2019-11-13
233,"A linear adjustment based approach to posterior drift in transfer
  learning",2021-11-21
234,Neural interval-censored survival regression with feature selection,2022-06-14
235,"FTX's downfall and Binance's consolidation: The fragility of centralised
  digital finance",2023-02-22
236,Right-censored models by the expectile method,2024-02-05
237,"Formal Verification of PLCs as a Service: A CERN-GSI Safety-Critical
  Case Study (extended version)",2025-02-26
238,Failure due to fatigue in fiber bundles and solids,2002-08-19
239,Turning Privacy Constraints into Syslog Analysis Advantage,2019-01-21
240,Failure-Sentient Composition For Swarm-Based Drone Services,2023-05-23
241,"Data-Driven Distributionally Robust Mitigation of Risk of Cascading
  Failures",2023-10-18
242,"Acceleration method for generating perception failure scenarios based on
  editing Markov process",2024-07-01
243,"Optimal Prediction of Time-to-Failure from Information Revealed by
  Damage",2005-11-05
244,D-optimal joint best linear unbiased prediction of order statistics,2020-12-22
245,UltraShare: FPGA-based Dynamic Accelerator Sharing and Allocation,2019-10-01
246,"First CE Matters: On the Importance of Long Term Properties on Memory
  Failure Prediction",2022-11-21
247,A Closer Look at Bearing Fault Classification Approaches,2023-09-29
248,Self-Accelerating Matter Waves,2015-05-06
249,Computing backup forwarding rules in Software-Defined Networks,2016-05-30
250,Less is More: Real-time Failure Localization in Power Systems,2019-04-10
251,"Enhancing Safety and Robustness of Vision-Based Controllers via
  Reachability Analysis",2024-10-29
252,"Oscillatory Finite-Time Singularities in Finance, Population and Rupture",2001-06-04
253,Boost Blockchain Broadcast Propagation with Tree Routing,2018-10-30
254,"Reliability Modeling, Analysis and Prediction of Wireless Mobile
  Communications",2018-11-29
255,"Fast variational Bayesian inference for correlated survival data: an
  application to invasive mechanical ventilation duration analysis",2024-07-31
256,"Optimal Accelerated Degradation Testing Based on Bivariate Gamma Process
  with Dependent Components",2021-06-25
257,Using Globular Clusters to Test Newton?s Law of Gravityy,2003-08-24
258,Motion backwards in time? A first example,2005-10-31
259,"Failed ""nonaccelerating"" models of prokaryote gene regulatory networks",2003-12-16
260,An Observational Test of the Critical Earthquake Concept,1998-03-16
261,"A Degradation Performance Model With Mixed-type Covariates and Latent
  Heterogeneity",2021-01-11
262,"Self-Adjusting Prescribed Performance Control for Nonlinear Systems with
  Input Saturation",2024-04-21
263,"Combined concurrent Physical and Chemical model for accelerated
  weathering damages of polyurethane-based coatings",2024-10-16
264,Data models for service failure prediction in supply-chain networks,2018-10-20
265,"Detecting and Mitigating Test-time Failure Risks via Model-agnostic
  Uncertainty Learning",2021-09-09
266,"Discerning Legitimate Failures From False Alerts: A Study of Chromium's
  Continuous Integration",2021-11-05
267,Introduction to Machine Protection,2016-08-08
268,Modeling Failure Priors and Persistence in Model-Based Diagnosis,2013-02-20
269,Material failure time and the fiber bundle model with thermal noise,1999-08-24
270,"Run-time Failure Detection via Non-intrusive Event Analysis in a
  Large-Scale Cloud Computing Platform",2023-01-18
271,"Towards Flexible Time-to-event Modeling: Optimizing Neural Networks via
  Rank Regression",2023-07-16
272,"Rational expectations as a tool for predicting failure of weighted
  k-out-of-n reliability systems",2021-11-17
273,"Power law creep and delayed failure of gels and fibrous materials under
  stress",2023-11-28
274,ATLAS: An Adaptive Failure-aware Scheduler for Hadoop,2015-11-04
275,Testing of Deep Reinforcement Learning Agents with Surrogate Models,2023-05-22
276,"Pre-Production and Quality Assurance of the Mu2e Calorimeter Silicon
  Photomultipliers",2017-12-13
277,Gaussian process regression for survival data with competing risks,2013-12-05
278,"A fully likelihood-based approach to model survival data with crossing
  survival curves",2019-10-06
279,Survival Analysis via Ordinary Differential Equations,2020-09-07
280,"A White-Box SVM Framework and its Swarm-Based Optimization for
  Supervision of Toothed Milling Cutter through Characterization of Spindle
  Vibrations",2021-12-15
281,"Improved Convergence in High Probability of Clipped Gradient Methods
  with Heavy Tails",2023-04-03
282,Bayesian pathway analysis over brain network mediators for survival data,2023-09-24
283,"Field Teams Coordination for Earthquake-Damaged Distribution System
  Energization",2024-04-05
284,Inevitable Endgame of Comet Tsuchinshan-ATLAS (C/2023 A3),2024-07-08
285,Gender differences in collaboration and career progression in physics,2024-08-05
286,Noise Analysis and Detection Based on RF Energy Duration in wireless LAN,2011-10-11
287,"Frictional weakening induced by cohesion: the numerical case of cohesive
  granular failures",2022-03-31
288,"Intelligent Vision Based Wear Forecasting on Surfaces of Machine Tool
  Elements",2021-06-12
289,"Invited Paper: Failure is (literally) an Option: Atomic Commitment vs
  Optionality in Decentralized Finance",2021-09-24
290,"Computing the Probability of a Financial Market Failure: A New Measure
  of Systemic Risk",2021-10-21
291,Reflecting on Recurring Failures in IoT Development,2022-06-27
292,"A Failure Identification and Recovery Framework for a Planar
  Reconfigurable Cable Driven Parallel Robot",2022-09-02
293,"A Fast and Accurate Failure Frequency Approximation for $k$-Terminal
  Reliability Systems",2017-12-27
294,"Impulsive acceleration of coronal mass ejections: I. Statistics and CME
  source region characteristics",2011-08-02
295,Exploring Beta-Like Distributions,2015-03-03
296,Advancing Dynamic Fault Tree Analysis,2016-04-25
297,"A non-parametric test for testing independence between time to failure
  and cause of failure of discrete competing risks data",2021-05-26
298,"JEL ratio test for independence of time to failure and cause of failure
  in competing risks",2021-10-17
299,Workload Failure Prediction for Data Centers,2023-01-12
300,Modeling time to failure using a temporal sequence of events,2024-12-08
301,"Robust Control of Cascading Power Grid Failures using Stochastic
  Approximation",2015-04-03
302,"Enhancing State Estimator for Autonomous Racing : Leveraging Multi-modal
  System and Managing Computing Resources",2023-08-14
303,Cosmological Trans-Planckian Conjectures are not Effective,2020-11-05
304,"A general linear method approach to the design and optimization of
  efficient, accurate, and easily implemented time-stepping methods in CFD",2020-10-13
305,"The RECIPE Approach to Challenges in Deeply Heterogeneous High
  Performance Systems",2021-03-04
306,"Boosting Distributional Copula Regression for Bivariate Right-Censored
  Time-to-Event Data",2024-12-19
307,Machine Protection,2016-01-20
308,"A Spatially Correlated Competing Risks Time-to-Event Model for
  Supercomputer GPU Failure Data",2023-03-29
309,"Manuscript of a method for improving wear in intermittently computing
  file systems",2023-04-11
310,"O-HAS: Optical Hardware Accelerator Search for Boosting Both
  Acceleration Performance and Development Speed",2021-08-17
311,"MORPH: An Adaptive Framework for Efficient and Byzantine Fault-Tolerant
  SDN Control Plane",2019-02-07
312,Adaptive Stress Testing without Domain Heuristics using Go-Explore,2020-04-08
313,Spatio-Temporal Failure Propagation in Cyber-Physical Power Systems,2022-02-05
314,"Learning Recovery Strategies for Dynamic Self-healing in Reactive
  Systems",2024-01-22
315,"Pairwise accelerated failure time regression models for infectious
  disease transmission in close-contact groups with external sources of
  infection",2019-01-07
316,How to Create an Innovation Accelerator,2010-11-16
317,Risk of Cascading Failures in Time-Delayed Vehicle Platooning,2021-09-05
318,"Probabilistic Modeling of LCF Failure Times Using an Epidemiological
  Crack Percolation Model",2022-07-06
319,Uniform Acceleration in General Relativity,2016-02-08
320,Covariant Uniform Acceleration,2011-05-03
321,"Rescheduling after vehicle failures in the multi-depot rural postman
  problem with rechargeable and reusable vehicles",2024-11-06
322,"Design of an Autonomous Racecar: Perception, State Estimation and System
  Integration",2018-04-09
323,Effective Ways to Build and Evaluate Individual Survival Distributions,2018-11-28
324,"Analysis of survival data with non-proportional hazards: A comparison of
  propensity score weighted methods",2020-09-02
325,"Robust inference for non-destructive one-shot device testing under
  step-stress model with exponential lifetimes",2022-04-25
326,"Time-Series Forecasting and Sequence Learning Using Memristor-based
  Reservoir System",2024-05-22
327,"Robust inference for an interval-monitored step-stress experiment under
  proportional hazards",2024-02-09
328,Continuous-time Analysis of Anchor Acceleration,2023-04-03
329,Some Speculations on the Ultimate Planck Energy,1995-10-20
330,"Overview of Fabrication Techniques and Lessons Learned With Accelerator
  Vacuum Windows",2018-08-23
331,Accelerated Weight Histogram Method for Rare Event Simulations,2022-10-26
332,"A Sigmoid-based car-following model to improve acceleration stability in
  traffic oscillation and following failure in free flow",2023-09-03
333,"Consistency test of general relativity from large scale structure of the
  Universe",2008-02-26
334,Tracking an Object with Unknown Accelerations using a Shadowing Filter,2015-01-21
335,"Bayesian linear regression with skew-symmetric error distributions with
  applications to survival analysis",2016-01-10
