Title,Date,Authors
Accelerated Screening of Highly Sensitive Gas Sensor Materials for Greenhouse Gases Based on DFT and Machine Learning Methods.,2025,"Zhenhao Wang, Xiaofang Hu, Yue Zhou"
Advances in Corneal Diagnostics Using Machine Learning.,2024,"Noor T Al-Sharify, Salman Yussof, Nebras H Ghaeb, Zainab T Al-Sharify, Husam Yahya Naser, Sura M Ahmed, Ong Hang See, Leong Yeng Weng"
Prediction of mortality risk in critically ill patients with systemic lupus erythematosus: a machine learning approach using the MIMIC-IV database.,2025,"Zhihan Chen, Yunfeng Dai, Yilin Chen, Han Chen, Huiping Wu, Li Zhang"
Social and health disparities associated with healthy brain ageing in Brazil and in other Latin American countries.,2025,"Lucas U Da Ros, Wyllians Vendramini Borelli, Cristiano Schaffer Aguzzoli, Marco Antônio De Bastiani, Lucas Porcello Schilling, Hernando Santamaria-Garcia, Tharick A Pascoal, Pedro Rosa-Neto, Diogo O Souza, Jaderson Costa da Costa, Agustin Ibañez, Claudia Kimie Suemoto, Eduardo R Zimmer"
MLR-predictor: a versatile and efficient computational framework for multi-label requirements classification.,2024,"Summra Saleem, Muhammad Nabeel Asim, Ludger Van Elst, Markus Junker, Andreas Dengel"
Information-controlled graph convolutional network for multi-view semi-supervised classification.,2025,"Yongquan Shi, Yueyang Pi, Zhanghui Liu, Hong Zhao, Shiping Wang"
Millets for a sustainable future.,2024,"Arindam Ghatak, Iro Pierides, Roshan Kumar Singh, Rakesh K Srivastava, Rajeev K Varshney, Manoj Prasad, Palak Chaturvedi, Wolfram Weckwerth"
Utility of Machine Learning Models to Predict Lymph Node Metastasis of Japanese Localized Prostate Cancer.,2024,"Hideto Ueki, Tomoaki Terakawa, Takuto Hara, Munenori Uemura, Yasuyoshi Okamura, Kotaro Suzuki, Yukari Bando, Jun Teishima, Yuzo Nakano, Raizo Yamaguchi, Hideaki Miyake"
Analyzing Secondary Cancer Risk: A Machine Learning Approach.,2025,"Erfan Hatamabadi Farahani, Hossein Sadeghi, Fatemeh Seif, Mahdi Azad Marzabadi, Reza Rezaee"
Gradient Descent Provably Escapes Saddle Points in the Training of Shallow ReLU Networks.,2024,"Patrick Cheridito, Arnulf Jentzen, Florian Rossmannek"
Predicting functional outcomes of patients with spontaneous intracerebral hemorrhage based on explainable machine learning models: a multicenter retrospective study.,2024,"Bin Pan, Fengda Li, Chuanghong Liu, Zeyi Li, Chengfa Sun, Kaijian Xia, Hong Xu, Gang Kong, Longyuan Gu, Kaiyuan Cheng"
Exploring artificial intelligence for differentiating early syphilis from other skin lesions: a pilot study.,2025,"Jiajun Sun, Yingping Li, Zhen Yu, Janet M Towns, Nyi N Soe, Phyu M Latt, Lin Zhang, Zongyuan Ge, Christopher K Fairley, Jason J Ong, Lei Zhang"
How do multi-faceted environmental policies enhance the production efficiency of enterprises?-Mechanisms discovery based on machine learning algorithms.,2025,"Yuan Wang, Ziqi Chen, Hushuang Shen"
Interpretable optimisation-based approach for hyper-box classification.,2025,"Georgios I Liapis, Sophia Tsoka, Lazaros G Papageorgiou"
Online energy consumption forecast for battery electric buses using a learning-free algebraic method.,2025,"Zejiang Wang, Guanhao Xu, Ruixiao Sun, Anye Zhou, Adian Cook, Yuche Chen"
Spectrum of errors in nodule detection and characterization using machine learning: A pictorial essay.,2025,"Jabi E Shriki, Ted Selker, Kristina Crothers, Mark Deffebach, Safia Cheeney, Jeffrey Edelman, Anupama Brixey, Mark Tubay, Laura Spece, Sirish Kishore"
Models and Biomarkers for Local Response Prediction in Early-Stage and Oligometastatic Non-small Cell Lung Cancer Patients Treated With Stereotactic Body Radiation Therapy Using Machine Learning.,2024,"Gemini Ramasamy, Thierry Muanza, Goulnar Kasymjanova, Jason Agulnik"
Editorial: Machine learning and immersive technologies for user-centered digital healthcare innovation.,2025,"Federico Colecchia, Daniele Giunchi, Rui Qin, Eleonora Ceccaldi, Fang Wang"
Pre-transplant and transplant parameters predict long-term survival after hematopoietic cell transplantation using machine learning.,2025,"Panagiotis G Asteris, Amir H Gandomi, Danial J Armaghani, Ahmed Salih Mohammed, Zoi Bousiou, Ioannis Batsis, Nikolaos Spyridis, Georgios Karavalakis, Anna Vardi, Evangelia Yannaki, Leonidas Triantafyllidis, Evangelos I Koutras, Nikos Zygouris, Georgios A Drosopoulos, Nikolaos A Fountas, Nikolaos M Vaxevanidis, Abidhan Bardhan, Pijush Samui, George D Hatzigeorgiou, Jian Zhou, Konstantina V Leontari, Paschalis Evangelidis, Ioanna Sakellari, Eleni Gavriilaki"
A predictive model for functional cure in chronic HBV patients treated with pegylated interferon alpha: a comparative study of multiple algorithms based on clinical data.,2024,"Ya-Mei Ye, Yong Lin, Fang Sun, Wen-Yan Yang, Lina Zhou, Chun Lin, Chen Pan"
Machine learning for predicting antimicrobial resistance in critical and high-priority pathogens: A systematic review considering antimicrobial susceptibility tests in real-world healthcare settings.,2025,"Carlos M Ardila, Daniel González-Arroyave, Sergio Tobón"
Development of machine learning models for predicting non-remission in early RA highlights the robust predictive importance of the RAID score-evidence from the ARCTIC study.,2025,"Gaoyang Li, Shrikant S Kolan, Franco Grimolizzi, Joseph Sexton, Giulia Malachin, Guro Goll, Tore K Kvien, Nina Paulshus Sundlisæter, Manuela Zucknick, Siri Lillegraven, Espen A Haavardsholm, Bjørn Steen Skålhegg"
Enhanced authentication of organic milk using MALDI-TOF MS with combined lipid-peptide fingerprinting and machine learning integration.,2025,"Minrui Zhou, Ting Li, Lingling Shen, Qisheng Zhong, Taohong Huang, Ting Zhou"
Real-Time Anomaly Detection in Physiological Parameters: A Multi-Squad Monitoring and Communication Architecture.,2025,"Razaq Jinad, Khushi Gupta, Damilola Oladimeji, Amar Rasheed, Cihan Varol"
Upscaling a regional telecardiology service to a nationwide coverage and beyond: the experience of the Telehealth Network of Minas Gerais.,2025,"Clara Rodrigues Alves Oliveira, Gabriela Miana de Mattos Paixão, Vinicius Carvalho Tostes, Paulo Rodrigues Gomes, Mayara Santos Mendes, Maria Cristina Paixão, Milena Soriano Marcolino, Antonio Luiz Pinho Ribeiro"
Environmental exposures related to gut microbiota among children with asthma: a pioneer study in Taiwan.,2025,"Aji Kusumaning Asri, Tsunglin Liu, Hui-Ju Tsai, Jiu-Yao Wang, Chih-Da Wu"
Enhanced electroencephalogram signal classification: A hybrid convolutional neural network with attention-based feature selection.,2025,"Bao Liu, Yuxin Wang, Lei Gao, Zhenxin Cai"
Establishment of multiple machine learning prognostic model for gene differences between primary tumors and lymph nodes in luminal breast cancer.,2024,"Meng Yue, Jianing Zhao, Si Wu, Lijing Cai, Xinran Wang, Ying Jia, Xiaoxiao Wang, Yongjun Wang, Yueping Liu"
3D Deep Learning for Virtual Orbital Defect Reconstruction: A Precise and Automated Approach.,2025,"Fangfang Yu, Chang Liu, Chenglan Zhong, Wei Zeng, Jinlong Chen, Wei Liu, Jixiang Guo, Wei Tang"
Boosting selective CO,2025,"Yueyue Shao, Jia Zhou"
Vibrational fiber photometry: label-free and reporter-free minimally invasive Raman spectroscopy deep in the mouse brain.,2025,"Filippo Pisano, Mariam Masmudi-Martín, Maria Samuela Andriani, Elena Cid, Mohammadrahim Kazemzadeh, Marco Pisanello, Antonio Balena, Liam Collard, Teresa Jurado Parras, Marco Bianco, Patricia Baena, Francesco Tantussi, Marco Grande, Leonardo Sileo, Francesco Gentile, Francesco De Angelis, Massimo De Vittorio, Liset Menendez de la Prida, Manuel Valiente, Ferruccio Pisanello"
FakET: Simulating cryo-electron tomograms with neural style transfer.,2025,"Pavol Harar, Lukas Herrmann, Philipp Grohs, David Haselbach"
Machine learning and metabolomics identify biomarkers associated with the disease extent of ulcerative colitis.,2025,"Changchang Ge, Yi Lu, Zhaofeng Shen, Yizhou Lu, Xiaojuan Liu, Mengyuan Zhang, Yijing Liu, Hong Shen, Lei Zhu"
Beyond the hot flashes: how machine learning is uncovering the complexity of menopause-related depression.,2025,"Graziella Orrù, Rebecca Ciacchini, Anna Conversano, Ciro Conversano, Angelo Gemignani"
Optimizing Bi-LSTM networks for improved lung cancer detection accuracy.,2025,"Su Diao, Yajie Wan, Danyi Huang, Shijia Huang, Touseef Sadiq, Mohammad Shahbaz Khan, Lal Hussain, Badr S Alkahtani, Tehseen Mazhar"
Classification of NSCLC subtypes using lung microbiome from resected tissue based on machine learning methods.,2025,"Pragya Kashyap, Kalbhavi Vadhi Raj, Jyoti Sharma, Naveen Dutt, Pankaj Yadav"
Universal conditional networks (UniCoN) for multi-age embryonic cartilage segmentation with Sparsely annotated data.,2025,"Nishchal Sapkota, Yejia Zhang, Zihao Zhao, Maria Jose Gomez, Yuhan Hsi, Jordan A Wilson, Kazuhiko Kawasaki, Greg Holmes, Meng Wu, Ethylin Wang Jabs, Joan T Richtsmeier, Susan M Motch Perrine, Danny Z Chen"
"Carbon reduction effect of comprehensive land consolidation and its configuration paths at the township level: A case study of Zhejiang Province, China.",2025,"Honggang Lu, Yongpeng Ding, Junbiao Zhang, Weiguang Wu, Dingde Xu"
Intelligent open-set MIMO recognition in OWC using a Siamese neural network.,2024,"Yinan Zhao, Chen Chen, Hailin Cao, Zhihong Zeng, Min Liu, Harald Haas"
Applications of pharmacometrics in drug development.,2025,"Yuan Xiong, Mahesh N Samtani, Daniele Ouellet"
An overview of the use of cutting-edge artificial intelligence (AI) modeling to produce synthetic medical data (SMD) in decentralized clinical machine learning (ML) for ovarian cancer(OC) and ovarian lymphoma(OL).,2025,Diana Donatello
"A novel machine learning approach for spatiotemporal prediction of EMS events: A case study from Barranquilla, Colombia.",2025,"Dionicio Neira-Rodado, Juan Camilo Paz-Roa, John Willmer Escobar, Miguel Ángel Ortiz-Barrios"
A hybrid deep learning model approach for automated detection and classification of cassava leaf diseases.,2025,"G Sambasivam, G Prabu Kanna, Munesh Singh Chauhan, Prem Raja, Yogesh Kumar"
Quantum mixed-state self-attention network.,2025,"Fu Chen, Qinglin Zhao, Li Feng, Chuangtao Chen, Yangbin Lin, Jianhong Lin"
A Scoping Review of Artificial Intelligence for Precision Nutrition.,2025,"Xizhi Wu, David Oniani, Zejia Shao, Paul Arciero, Sonish Sivarajkumar, Jordan Hilsman, Alex E Mohr, Stephanie Ibe, Minal Moharir, Li-Jia Li, Ramesh Jain, Jun Chen, Yanshan Wang"
Use of machine learning in occupational risk communication for healthcare workers: protocol for scoping review.,2025,"Gabriela Laudares Albuquerque de Oliveira, Clarice Alves Bonow, Itiberê de Oliveira Castellano Rodrigues, Amanda Xavier Geraldo"
Investigating the intrinsic top-down dynamics of deep generative models.,2025,"Lorenzo Tausani, Alberto Testolin, Marco Zorzi"
A machine learning framework to predict PPCP removal through various wastewater and water reuse treatment trains.,2025,"Joung Min Choi, Vineeth Manthapuri, Ishi Keenum, Connor L Brown, Kang Xia, Chaoqi Chen, Peter J Vikesland, Matthew F Blair, Charles Bott, Amy Pruden, Liqing Zhang"
FacialNet: facial emotion recognition for mental health analysis using UNet segmentation with transfer learning model.,2024,"In-Seop Na, Asma Aldrees, Abeer Hakeem, Linda Mohaisen, Muhammad Umer, Dina Abdulaziz AlHammadi, Shtwai Alsubai, Nisreen Innab, Imran Ashraf"
Unsupervised Dimensionality Reduction Techniques for the Assessment of ASD Biomarkers.,2025,"Zachary Jacokes, Ian Adoremos, Arham Rameez Hussain, Benjamin T Newman, Kevin A Pelphrey, John Darrell Van Horn"
scGO: interpretable deep neural network for cell status annotation and disease diagnosis.,2024,"You Wu, Pengfei Xu, Liyuan Wang, Shuai Liu, Yingnan Hou, Hui Lu, Peng Hu, Xiaofei Li, Xiang Yu"
Identification and validation of diagnostic biomarkers for temporal lobe epilepsy related to ferroptosis and potential therapeutic targets.,2025,"Dai Shi, Jingxuan Li, Zhenpeng Niu, Likun Wang, Siying Ren, Wen Gu, Hui Yang, Hong Xue, Guofeng Wu"
A 20 m spatial resolution peatland extent map of Alaska.,2025,"Mark J Lara, Roger Michaelides, Duncan Anderson, Wenqu Chen, Emma C Hall, Caroline Ludden, Aiden I G Schore, Umakant Mishra, Sarah N Scott"
Evaluating the feasibility of automating dataset retrieval for biodiversity monitoring.,2025,"Alexandre Fuster-Calvo, Sarah Valentin, William C Tamayo, Dominique Gravel"
Ensuring Reliable Network Communication and Data Processing in Internet of Things Systems with Prediction-Based Resource Allocation.,2025,"Weronika Symbor, Łukasz Falas"
Genetic Studies Through the Lens of Gene Networks.,2025,"Marc Subirana-Granés, Jill Hoffman, Haoyu Zhang, Christina Akirtava, Sutanu Nandi, Kevin Fotso, Milton Pividori"
Unveiling tumor-infiltrating immune cell-driven immune-mediated drug resistance in clear cell renal cell carcinoma: prognostic insights and therapeutic strategies.,2025,"Jifeng Yang, Yixuan Xing, Jiusong Luan, Wenbo Yang, Xin Zhang, Yanhua Tian, Haisong Zhang"
Rapid learning with phase-change memory-based in-memory computing through learning-to-learn.,2025,"Thomas Ortner, Horst Petschenig, Athanasios Vasilopoulos, Roland Renner, Špela Brglez, Thomas Limbacher, Enrique Piñero, Alejandro Linares-Barranco, Angeliki Pantazi, Robert Legenstein"
Large Language Models as Tools for Molecular Toxicity Prediction: AI Insights into Cardiotoxicity.,2025,"Hengzheng Yang, Jian Xiu, Weiqi Yan, Kaifeng Liu, Huizi Cui, Zhibang Wang, Qizheng He, Yilin Gao, Weiwei Han"
Online analysis of Amazon's soils through reflectance spectroscopy and cloud computing can support policies and the sustainable development.,2025,"Jean Jesus Macedo Novais, Borges Marfrann Dias Melo, Afrânio Ferreira Neves Junior, Raimundo Humberto Cavalcante Lima, Renato Epifânio de Souza, Valdinar Ferreira Melo, Eufran Ferreira do Amaral, Nikolaos Tziolas, José A M Demattê"
Machine learning-based interpretation of non-contrast feature tracking strain analysis and T1/T2 mapping for assessing myocardial viability.,2025,"Amir GhaffariJolfayi, Alireza Salmanipour, Kiyan Heshmat-Ghahdarijani, MohammadHossein MozafaryBazargany, Amir Azimi, Pirouz Pirouzi, Ali Mohammadzadeh"
Radiomics signature for dynamic monitoring of tumor inflamed microenvironment and immunotherapy response prediction.,2025,"Kinga Bernatowicz, Ramon Amat, Olivia Prior, Joan Frigola, Marta Ligero, Francesco Grussu, Christina Zatse, Garazi Serna, Paolo Nuciforo, Rodrigo Toledo, Manel Escobar, Elena Garralda, Enriqueta Felip, Raquel Perez-Lopez"
A comprehensive analysis of molecular characteristics of hot and cold tumor of gastric cancer.,2025,"Chenxi Lv, Tianwei Chen, Jiangtao Li, Yuqiang Shan, Hong Zhou"
"How far do we still need to go with antibiotics in aquatic environments? Antibiotic occurrence, chemical-free or chemical-limited strategies, key challenges, and future perspectives.",2025,"Yijia Lu, Xiaoqin Zhou, Ye Zheng, Haolin Yang, Wenbin Cao"
Identification of biomarkers for the diagnosis of type 2 diabetes mellitus with metabolic associated fatty liver disease by bioinformatics analysis and experimental validation.,2025,"Guiling Wu, Sihui Wu, Tian Xiong, You Yao, Yu Qiu, Liheng Meng, Cuihong Chen, Xi Yang, Xinghuan Liang, Yingfen Qin"
Acceptance criteria for contributions involving machine learning/artificial intelligence methods: editorial.,2024,"Markus Testorf, Svetlana Avramov-Zamurovic, Olga Korotkova"
"Spatial and Temporal Analysis, and Machine Learning-Based Prediction of PCB Water Concentrations in U.S. Natural Water Systems.",2025,"Andres Martinez, Keri C Hornbuckle, Michael P Jones, Brian D Westra"
Leveraging compact convolutional transformers for enhanced COVID-19 detection in chest X-rays: a grad-CAM visualization approach.,2024,"Aravinda C V, Sudeepa K B, S Pradeep, P Suraksha, Meng Lin"
End-to-end deep-learning model for the detection of coronary artery stenosis on coronary CT images.,2025,"Vibha Gupta, Petur Petursson, Aidin Rawshani, Jan Boren, Truls Ramunddal, Deepak L Bhatt, Elmir Omerovic, Oskar Angerås, Gustav Smith, Naveed Sattar, Erik Andersson, Björn Redfors, Lukas Hilgendorf, Göran Bergström, Carlo Pirazzi, Kristofer Skoglund, Araz Rawshani"
Empirical analysis on retinal segmentation using PSO-based thresholding in diabetic retinopathy grading.,2025,"Bhuvaneswari Sekar, Subashini Parthasarathy"
Experimental validation of XPM mitigation using a generalizable multi-task learning neural network.,2024,"Sasipim Srivallapanondh, Pedro Freire, Bernhard Spinnler, Nelson Costa, Wolfgang Schairer, Antonio Napoli, Sergei K Turitsyn, Jaroslaw E Prilepsky"
Dissolved organic carbon estimation in lakes: Improving machine learning with data augmentation on fusion of multi-sensor remote sensing observations.,2025,"Seyed Babak Haji Seyed Asadollah, Ahmadreza Safaeinia, Sina Jarahizadeh, Francisco Javier Alcalá, Ahmad Sharafati, Antonio Jodar-Abellan"
Predicting the infecting dengue serotype from antibody titre data using machine learning.,2024,"Bethan Cracknell Daniels, Darunee Buddhari, Taweewun Hunsawong, Sopon Iamsirithaworn, Aaron R Farmer, Derek A T Cummings, Kathryn B Anderson, Ilaria Dorigatti"
A machine learning-based investigation of integrin expression patterns in cancer and metastasis.,2025,"Hossain Shadman, Saghar Gomrok, Christopher Litle, Qianyi Cheng, Yu Jiang, Xiaohua Huang, Jesse D Ziebarth, Yongmei Wang"
PhyloFunc: phylogeny-informed functional distance as a new ecological metric for metaproteomic data analysis.,2025,"Luman Wang, Caitlin M A Simopoulos, Joeselle M Serrana, Zhibin Ning, Yutong Li, Boyan Sun, Jinhui Yuan, Daniel Figeys, Leyuan Li"
Trustworthy and Human Centric neural network approaches for prediction of landfill methane emission and sustainable waste management practices.,2025,S Denis Ashok
A pilot study for speech assessment to detect the severity of Parkinson's disease: An ensemble approach.,2025,"Guilherme C Oliveira, Nemuel D Pah, Quoc C Ngo, Arissa Yoshida, Nícolas B Gomes, João P Papa, Dinesh Kumar"
Exploring patient and public participation in the STANDING Together initiative for AI in healthcare.,2024,"Jacqui Gath, Cassandra Leung, Adewale O Adebajo, Jude Beng, Anmol Arora, Joseph E Alderman, Joanne Palmer, Elinor Laws, Jaspret Gill, Melissa McCradden, Francis McKay, Alastair Denniston, Xiaoxuan Liu"
A novel DNA damage-related gene index for predicting prognosis in gastric cancer.,2025,"Haipeng Xiao, Qianjin He, Yang Hu, Chang Li, Han Tian, Feng Chen, Wenchong Song"
