Title,Date,Authors,Abstract
Effect of a Machine Learning-Derived Early Warning Tool With Treatment Protocol on Hypotension During Cardiac Surgery and ICU Stay: The Hypotension Prediction 2 (HYPE-2) Randomized Clinical Trial.,2025-Feb-01,"Jaap Schuurmans, Santino R Rellum, Jimmy Schenk, Björn J P van der Ster, Ward H van der Ven, Bart F Geerts, Markus W Hollmann, Thomas G V Cherpanath, Wim K Lagrand, Paul R Wynandts, Frederique Paulus, Antoine H G Driessen, Lotte E Terwindt, Susanne Eberl, Henning Hermanns, Denise P Veelo, Alexander P J Vlaar","Cardiac surgery is associated with perioperative complications, some of which might be attributable to hypotension. The Hypotension Prediction Index (HPI), a machine-learning-derived early warning tool for hypotension, has only been evaluated in noncardiac surgery. We investigated whether using HPI with diagnostic guidance reduced hypotension during cardiac surgery and in the ICU."
Identifying influential factors using machine learning techniques on the intention to receive a COVID-19 booster dose and vaccine fatigue among partially vaccinated individuals.,2024,"Athina Bikaki, Justin M Luningham, Erika L Thompson, Brittany Krenek, Jamboor K Vishwanatha, Ioannis A Kakadiaris","This study assesses COVID-19 booster intentions and hesitancy in Texas, a state known for its diversity and libertarian values. A survey was conducted with 274 participants residing in Texas between June and July 2022. The analysis examined sociodemographic and health-related factors, trusted information sources, and preventive behaviors. The survey focused on vaccinated participants and their intention to receive the booster dose, which was categorized into three outcomes: yes, no, and not sure. Machine learning techniques were employed to analyze the survey responses of vaccinated participants to identify the most critical factors. Among the participants, 113 expressed their intention to get the booster (41.2%), 107 did not plan to receive the booster (39.1%), and 54 remained undecided (19.7%). Our findings indicate that the perception of vaccine safety significantly influenced the decision to receive the booster dose. Those who reported trust in social media contacts as reliable information sources were more likely to intend to boost. Additionally, among those hospitalized when diagnosed with COVID-19, the largest proportion were unwilling to receive the booster (47.0%) compared to those who intended to receive the booster (33.3%). In contrast, most of those who believed they would be hospitalized if infected with COVID-19 intended to get the booster. Other factors did not demonstrate a significant association. Our findings are highly transferable and can offer valuable insights, particularly for countries where COVID-19 remains prevalent and are pivotal both presently and in the future for developing strategies to improve booster uptake and shape public health initiatives in epidemic and pandemic outbreaks."
A survey of recently emerged genome-wide computational enhancer predictor tools.,2018-Jun,"Leonard Whye Kit Lim, Hung Hui Chung, Yee Ling Chong, Nung Kion Lee","The race for the discovery of enhancers at a genome-wide scale has been on since the commencement of next generation sequencing decades after the discovery of the first enhancer, SV40. A few enhancer-predicting features such as chromatin feature, histone modifications and sequence feature had been implemented with varying success rates. However, to date, there is no consensus yet on the single enhancer marker that can be employed to ultimately distinguish and uncover enhancers from the enormous genomic regions. Many supervised, unsupervised and semi-supervised computational approaches had emerged to complement and facilitate experimental approaches in enhancer discovery. In this review, we placed our focus on the recently emerged enhancer predictor tools that work on general enhancer features such as sequences, chromatin states and histone modifications, eRNA and of multiple feature approach. Comparisons of their prediction methods and outcomes were done across their functionally similar counterparts. We provide some recommendations and insights for future development of more comprehensive and robust tools."
Tailored point-of-care biosensors for liquid biopsy in the field of oncology.,2022-Dec-20,"Sima Singh, Pritam Saha Podder, Matt Russo, Charles Henry, Stefano Cinti","In the field of cancer detection, technologies to analyze tumors using biomarkers circulating in fluids such as blood have developed rapidly based on liquid biopsy. A proactive approach to early cancer detection can lead to more effective treatments with minimal side effects and better long-term patient survival. However, early detection of cancer is hindered by the existing limitations of conventional cancer diagnostic methods. To enable early diagnosis and regular monitoring and improve automation, the development of integrated point-of-care (POC) and biosensors is needed. This is expected to fundamentally change the diagnosis, management, and monitoring of response to treatment of cancer. POC-based techniques will provide a way to avoid complications that occur after invasive tissue biopsy, such as bleeding, infection, and pain. The aim of this study is to provide a comprehensive view of biosensors and their clinical relevance in oncology for the detection of biomarkers with liquid biopsies of proteins, miRNA, ctDNA, exosomes, and cancer cells. The preceding discussion also illustrates the changing landscape of liquid biopsy-based cancer diagnosis through nanomaterials, machine learning, artificial intelligence, wearable devices, and sensors, many of which apply POC design principles. With the advent of sensitive, selective, and timely detection of cancer, we see the field of POC technology for cancer detection and treatment undergoing a positive paradigm shift in the foreseeable future."
Application of visible and near infrared hyperspectral imaging for non-invasively measuring distribution of water-holding capacity in salmon flesh.,2013-Nov-15,"Di Wu, Da-Wen Sun","Water-holding capacity (WHC) is a primary quality determinant of salmon flesh. One of the limiting factors for not having a direct measurement of WHC for salmon quality grading is that current WHC measurements are destructive, time-consuming, and inefficient. In this study, two hyperspectral image systems operated in the visible and short-wave near infrared range (400-1000 nm) and the long-wave near infrared range (897-1753 nm) were applied for non-invasive determination of four WHC indices, namely percentage liquid loss (PLL), percentage water loss (PWL), percentage fat loss (PFL), and percentage water remained (PWR) of salmon flesh. Two calibration methods of partial least square regression (PLSR) and least-squares support vector machines (LS-SVM) were applied, respectively, to establish calibration models of WHC indices based on the spectral signatures of salmon flesh, and the performances of these two methods were compared to determine the optimal spectral calibration strategy. The performances were also compared between two hyperspectral image systems, when full range spectra were considered. Out of 121 wavelength variables, only thirteen (PLL), twelve (PWL), nine (PFL), and twelve variables (PWR) were selected as important variables by using competitive adaptive reweighted sampling (CARS) algorithm to reduce redundancy and collinearity of hyperspectral images. The CARS-PLSR combination was identified as the optimal method to calibrate the prediction models for WHC determination, resulting in good correlation coefficient of prediction (rP) of 0.941, 0.937, 0.815, and 0.970 for PLL, PWL, PFL, and PWR analysis, respectively. CARS-PLSR equations were obtained according to the regression coefficients of the CARS-PLSR models and were transferred to each pixel in the image for visualizing WHC indices in all portions of the salmon fillet. The overall results show that the laborious, time-consuming, and destructive traditional techniques could be replaced by hyperspectral imaging to provide a rapid and non-invasive measurement of WHC distribution in salmon flesh."
Machine-Learning Models: The Future of Predictive Analytics in Neurosurgery.,2018-Jul-01,"G Damian Brusko, John Paul G Kolcun, Michael Y Wang",No abstract available
Assessing greenspace and cardiovascular health through deep-learning analysis of street-view imagery in a cohort of US children.,2025-Jan-15,"Li Yi, Sheryl Rifas-Shiman, Marcia Pescador Jimenez, Pi-I Debby Lin, Esra Suel, Perry Hystad, Andrew Larkin, Steve Hankey, Wenwen Zhang, Jochem Klompmaker, Emily Oken, Marie-France Hivert, Izzuddin Aris, Peter James","Accurately capturing individuals' experiences with greenspace at ground-level can provide valuable insights into their impact on children's health. However, most previous research has relied on coarse satellite-based measurements."
Unsupervised learning of spatially-resolved ARPES spectra for epitaxially grown graphene via non-negative matrix factorization.,2024-Oct-15,"Masaki Imamura, Kazutoshi Takahashi","This study proposed an unsupervised machine-learning approach for analyzing spatially-resolved ARPES. A combination of non-negative matrix factorization (NMF) and k-means clustering was applied to spatially-resolved ARPES spectra of the graphene epitaxially grown on a SiC substrate. The Dirac cones of graphene were decomposed and reproduced fairly well using NMF. The base and activation matrices obtained from the NMF results reflected the detailed spectral features derived from the number of graphene layers and growth directions. The spatial distribution of graphene thickness on the substrate was clearly visualized by the clustering using the activation matrices acquired via NMF. Integration with k-means clustering enables clear visualization of spatial variations. Our method efficiently handles large datasets, extracting spectral features without manual inspection. It offers broad applicability beyond graphene studies to analyze ARPES spectra in various materials."
Dependency-based Siamese long short-term memory network for learning sentence representations.,2018,"Wenhao Zhu, Tengjun Yao, Jianyue Ni, Baogang Wei, Zhiguo Lu","Textual representations play an important role in the field of natural language processing (NLP). The efficiency of NLP tasks, such as text comprehension and information extraction, can be significantly improved with proper textual representations. As neural networks are gradually applied to learn the representation of words and phrases, fairly efficient models of learning short text representations have been developed, such as the continuous bag of words (CBOW) and skip-gram models, and they have been extensively employed in a variety of NLP tasks. Because of the complex structure generated by the longer text lengths, such as sentences, algorithms appropriate for learning short textual representations are not applicable for learning long textual representations. One method of learning long textual representations is the Long Short-Term Memory (LSTM) network, which is suitable for processing sequences. However, the standard LSTM does not adequately address the primary sentence structure (subject, predicate and object), which is an important factor for producing appropriate sentence representations. To resolve this issue, this paper proposes the dependency-based LSTM model (D-LSTM). The D-LSTM divides a sentence representation into two parts: a basic component and a supporting component. The D-LSTM uses a pre-trained dependency parser to obtain the primary sentence information and generate supporting components, and it also uses a standard LSTM model to generate the basic sentence components. A weight factor that can adjust the ratio of the basic and supporting components in a sentence is introduced to generate the sentence representation. Compared with the representation learned by the standard LSTM, the sentence representation learned by the D-LSTM contains a greater amount of useful information. The experimental results show that the D-LSTM is superior to the standard LSTM for sentences involving compositional knowledge (SICK) data."
Head and Neck Cancer Tumor Segmentation Using Support Vector Machine in Dynamic Contrast-Enhanced MRI.,2017,"Wei Deng, Liangping Luo, Xiaoyi Lin, Tianqi Fang, Dexiang Liu, Guo Dan, Hanwei Chen",We aimed to propose an automatic method based on Support Vector Machine (SVM) and Dynamic Contrast-Enhanced Magnetic Resonance Imaging (DCE-MRI) to segment the tumor lesions of head and neck cancer (HNC).
Optimizing methadone dose adjustment in patients with opioid use disorder.,2023,"Po-Shen Liu, Teng-Yao Kuo, I-Chun Chen, Shu-Wua Lee, Ting-Gang Chang, Hou-Liang Chen, Jun-Peng Chen",Opioid use disorder is a cause for concern globally. This study aimed to optimize methadone dose adjustments using mixed modeling and machine learning.
Analysis and prediction of COVID-19 trajectory: A machine learning approach.,2021-Nov,"Ritanjali Majhi, Rahul Thangeda, Renu Prasad Sugasi, Niraj Kumar","The outbreak of Coronavirus 2019 (COVID-19) has impacted everyday lives globally. The number of positive cases is growing and India is now one of the most affected countries. This paper builds predictive models that can predict the number of positive cases with higher accuracy. Regression-based, Decision tree-based, and Random forest-based models have been built on the data from China and are validated on India's sample. The model is found to be effective and will be able to predict the positive number of cases in the future with minimal error. The developed machine learning model can work in real-time and can effectively predict the number of positive cases. Key measures and suggestions have been put forward considering the effect of lockdown."
Development of a Mouse Pain Scale Using Sub-second Behavioral Mapping and Statistical Modeling.,2019-Aug-06,"Ishmail Abdus-Saboor, Nathan T Fried, Mark Lay, Justin Burdge, Kathryn Swanson, Roman Fischer, Jessica Jones, Peter Dong, Weihua Cai, Xinying Guo, Yuan-Xiang Tao, John Bethea, Minghong Ma, Xinzhong Dong, Long Ding, Wenqin Luo","Rodents are the main model systems for pain research, but determining their pain state is challenging. To develop an objective method to assess pain sensation in mice, we adopt high-speed videography to capture sub-second behavioral features following hind paw stimulation with both noxious and innocuous stimuli and identify several differentiating parameters indicating the affective and reflexive aspects of nociception. Using statistical modeling and machine learning, we integrate these parameters into a single index and create a ""mouse pain scale,"" which allows us to assess pain sensation in a graded manner for each withdrawal. We demonstrate the utility of this method by determining sensations triggered by three different von Frey hairs and optogenetic activation of two different nociceptor populations. Our behavior-based ""pain scale"" approach will help improve the rigor and reproducibility of using withdrawal reflex assays to assess pain sensation in mice."
Suppressing Electron Exposure Artifacts: An Electron Scanning Paradigm with Bayesian Machine Learning.,2016-Aug,"Karl Hujsak, Benjamin D Myers, Eric Roth, Yue Li, Vinayak P Dravid","Electron microscopy of biological, polymeric, and other beam-sensitive structures is often hampered by deleterious electron beam interactions. In fact, imaging of such beam-sensitive materials is limited by the allowable radiation dosage rather that capabilities of the microscope itself, which has been compounded by the availability of high brightness electron sources. Reducing dwell times to overcome dose-related artifacts, such as radiolysis and electrostatic charging, is challenging due to the inherently low contrast in imaging of many such materials. These challenges are particularly exacerbated during dynamic time-resolved, fluidic cell imaging, or three-dimensional tomographic reconstruction-all of which undergo additional dosage. Thus, there is a pressing need for the development of techniques to produce high-quality images at ever lower electron doses. In this contribution, we demonstrate direct dose reduction and suppression of beam-induced artifacts through under-sampling pixels, by as much as 80% reduction in dosage, using a commercial scanning electron microscope with an electrostatic beam blanker and a dictionary learning in-painting algorithm. This allows for multiple sparse recoverable images to be acquired at the cost of one fully sampled image. We believe this approach may open new ways to conduct imaging, which otherwise require compromising beam current and/or exposure conditions."
Movement recognition technology as a method of assessing spontaneous general movements in high risk infants.,2014,"Claire Marcroft, Aftab Khan, Nicholas D Embleton, Michael Trenell, Thomas Plötz","Preterm birth is associated with increased risks of neurological and motor impairments such as cerebral palsy. The risks are highest in those born at the lowest gestations. Early identification of those most at risk is challenging meaning that a critical window of opportunity to improve outcomes through therapy-based interventions may be missed. Clinically, the assessment of spontaneous general movements is an important tool, which can be used for the prediction of movement impairments in high risk infants. Movement recognition aims to capture and analyze relevant limb movements through computerized approaches focusing on continuous, objective, and quantitative assessment. Different methods of recording and analyzing infant movements have recently been explored in high risk infants. These range from camera-based solutions to body-worn miniaturized movement sensors used to record continuous time-series data that represent the dynamics of limb movements. Various machine learning methods have been developed and applied to the analysis of the recorded movement data. This analysis has focused on the detection and classification of atypical spontaneous general movements. This article aims to identify recent translational studies using movement recognition technology as a method of assessing movement in high risk infants. The application of this technology within pediatric practice represents a growing area of inter-disciplinary collaboration, which may lead to a greater understanding of the development of the nervous system in infants at high risk of motor impairment."
"QSAR study of 1,4-dihydropyridine calcium channel antagonists based on gene expression programming.",2006-Jul-15,"Hong Zong Si, Tao Wang, Ke Jun Zhang, Zhi De Hu, Bo Tao Fan","The gene expression programming, a novel machine learning algorithm, is used to develop quantitative model as a potential screening mechanism for a series of 1,4-dihydropyridine calcium channel antagonists for the first time. The heuristic method was used to search the descriptor space and select the descriptors responsible for activity. A nonlinear, six-descriptor model based on gene expression programming with mean-square errors 0.19 was set up with a predicted correlation coefficient (R2) 0.92. This paper provides a new and effective method for drug design and screening."
AuthorSynth: a collaboration network and behaviorally-based visualization tool of activation reports from the neuroscience literature.,2015,Vanessa V Sochat,"Targeted collaboration is becoming more challenging with the ever-increasing number of publications, conferences, and academic responsibilities that the modern-day researcher must synthesize. Specifically, the field of neuroimaging had roughly 10,000 new papers in PubMed for the year 2013, presenting tens of thousands of international authors, each a potential collaborator working on some sub-domain in the field. To remove the burden of synthesizing an entire corpus of publications, talks, and conference interactions to find and assess collaborations, we combine meta-analytical neuroimaging informatics methods with machine learning and network analysis toward this goal. We present ""AuthorSynth,"" a novel application prototype that includes (1) a collaboration network to identify researchers with similar results reported in the literature; and (2) a 2D plot-""brain lattice""-to visually summarize a single author's contribution to the field, and allow for searching of authors based on behavioral terms. This method capitalizes on intelligent synthesis of the neuroimaging literature, and demonstrates that data-driven approaches can be used to confirm existing collaborations, reveal potential ones, and identify gaps in published knowledge. We believe this tool exemplifies how methods from neuroimaging informatics can better inform researchers about progress and knowledge in the field, and enhance the modern workflow of finding collaborations."
Mega-Analysis of Gray Matter Volume in Substance Dependence: General and Substance-Specific Regional Effects.,2019-Feb-01,"Scott Mackey, Nicholas Allgaier, Bader Chaarani, Philip Spechler, Catherine Orr, Janice Bunn, Nicholas B Allen, Nelly Alia-Klein, Albert Batalla, Sara Blaine, Samantha Brooks, Elisabeth Caparelli, Yann Ying Chye, Janna Cousijn, Alain Dagher, Sylvane Desrivieres, Sarah Feldstein-Ewing, John J Foxe, Rita Z Goldstein, Anna E Goudriaan, Mary M Heitzeg, Robert Hester, Kent Hutchison, Ozlem Korucuoglu, Chiang-Shan R Li, Edythe London, Valentina Lorenzetti, Maartje Luijten, Rocio Martin-Santos, April May, Reza Momenan, Angelica Morales, Martin P Paulus, Godfrey Pearlson, Marc-Etienne Rousseau, Betty Jo Salmeron, Renée Schluter, Lianne Schmaal, Gunter Schumann, Zsuzsika Sjoerds, Dan J Stein, Elliot A Stein, Rajita Sinha, Nadia Solowij, Susan Tapert, Anne Uhlmann, Dick Veltman, Ruth van Holst, Sarah Whittle, Margaret J Wright, Murat Yücel, Sheng Zhang, Deborah Yurgelun-Todd, Derrek P Hibar, Neda Jahanshad, Alan Evans, Paul M Thompson, David C Glahn, Patricia Conrod, Hugh Garavan","Although lower brain volume has been routinely observed in individuals with substance dependence compared with nondependent control subjects, the brain regions exhibiting lower volume have not been consistent across studies. In addition, it is not clear whether a common set of regions are involved in substance dependence regardless of the substance used or whether some brain volume effects are substance specific. Resolution of these issues may contribute to the identification of clinically relevant imaging biomarkers. Using pooled data from 14 countries, the authors sought to identify general and substance-specific associations between dependence and regional brain volumes."
ClearF: a supervised feature scoring method to find biomarkers using class-wise embedding and reconstruction.,2019-Jul-11,"Sehee Wang, Hyun-Hwan Jeong, Kyung-Ah Sohn","Feature selection or scoring methods for the detection of biomarkers are essential in bioinformatics. Various feature selection methods have been developed for the detection of biomarkers, and several studies have employed information-theoretic approaches. However, most of these methods generally require a long processing time. In addition, information-theoretic methods discretize continuous features, which is a drawback that can lead to the loss of information."
EASE-MM: Sequence-Based Prediction of Mutation-Induced Stability Changes with Feature-Based Multiple Models.,2016-Mar-27,"Lukas Folkman, Bela Stantic, Abdul Sattar, Yaoqi Zhou","Protein engineering and characterisation of non-synonymous single nucleotide variants (SNVs) require accurate prediction of protein stability changes (ΔΔGu) induced by single amino acid substitutions. Here, we have developed a new prediction method called Evolutionary, Amino acid, and Structural Encodings with Multiple Models (EASE-MM), which comprises five specialised support vector machine (SVM) models and makes the final prediction from a consensus of two models selected based on the predicted secondary structure and accessible surface area of the mutated residue. The new method is applicable to single-domain monomeric proteins and can predict ΔΔGu with a protein sequence and mutation as the only inputs. EASE-MM yielded a Pearson correlation coefficient of 0.53-0.59 in 10-fold cross-validation and independent testing and was able to outperform other sequence-based methods. When compared to structure-based energy functions, EASE-MM achieved a comparable or better performance. The application to a large dataset of human germline non-synonymous SNVs showed that the disease-causing variants tend to be associated with larger magnitudes of ΔΔGu predicted with EASE-MM. The EASE-MM web-server is available at http://sparks-lab.org/server/ease."
The Hierarchical Continuous Pursuit Learning Automation: A Novel Scheme for Environments With Large Numbers of Actions.,2020-Feb,"Anis Yazidi, Xuan Zhang, Lei Jiao, B John Oommen","Although the field of learning automata (LA) has made significant progress in the past four decades, the LA-based methods to tackle problems involving environments with a large number of actions is, in reality, relatively unresolved. The extension of the traditional LA to problems within this domain cannot be easily established when the number of actions is very large. This is because the dimensionality of the action probability vector is correspondingly large, and so, most components of the vector will soon have values that are smaller than the machine accuracy permits, implying that they will never be chosen. This paper presents a solution that extends the continuous pursuit paradigm to such large-actioned problem domains. The beauty of the solution is that it is hierarchical, where all the actions offered by the environment reside as leaves of the hierarchy. Furthermore, at every level, we merely require a two-action LA that automatically resolves the problem of dealing with arbitrarily small action probabilities. In addition, since all the LA invoke the pursuit paradigm, the best action at every level trickles up toward the root. Thus, by invoking the property of the ""max"" operator, in which the maximum of numerous maxima is the overall maximum, the hierarchy of LA converges to the optimal action. This paper describes the scheme and formally proves its ϵ -optimal convergence. The results presented here can, rather trivially, be extended for the families of discretized and Bayesian pursuit LA too. This paper also reports extensive experimental results (including for environments having 128 and 256 actions) that demonstrate the power of the scheme and its computational advantages. As far as we know, there are no comparable pursuit-based results in the field of LA. In some cases, the hierarchical continuous pursuit automaton requires less than 18% of the number of iterations than the benchmark L"
Eliminate the hardware: Mobile terminals-oriented food recognition and weight estimation system.,2022,"Qinqiu Zhang, Chengyuan He, Wen Qin, Decai Liu, Jun Yin, Zhiwen Long, Huimin He, Ho Ching Sun, Huilin Xu","Food recognition and weight estimation based on image methods have always been hotspots in the field of computer vision and medical nutrition, and have good application prospects in digital nutrition therapy and health detection. With the development of deep learning technology, image-based recognition technology has also rapidly extended to various fields, such as agricultural pests, disease identification, tumor marker recognition, wound severity judgment, road wear recognition, and food safety detection. This article proposes a non-wearable food recognition and weight estimation system (nWFWS) to identify the food type and food weight in the target recognition area "
Transfer learning improves supervised image segmentation across imaging protocols.,2015-May,"Annegreet van Opbroek, M Arfan Ikram, Meike W Vernooij, Marleen de Bruijne","The variation between images obtained with different scanners or different imaging protocols presents a major challenge in automatic segmentation of biomedical images. This variation especially hampers the application of otherwise successful supervised-learning techniques which, in order to perform well, often require a large amount of labeled training data that is exactly representative of the target data. We therefore propose to use transfer learning for image segmentation. Transfer-learning techniques can cope with differences in distributions between training and target data, and therefore may improve performance over supervised learning for segmentation across scanners and scan protocols. We present four transfer classifiers that can train a classification scheme with only a small amount of representative training data, in addition to a larger amount of other training data with slightly different characteristics. The performance of the four transfer classifiers was compared to that of standard supervised classification on two magnetic resonance imaging brain-segmentation tasks with multi-site data: white matter, gray matter, and cerebrospinal fluid segmentation; and white-matter-/MS-lesion segmentation. The experiments showed that when there is only a small amount of representative training data available, transfer learning can greatly outperform common supervised-learning approaches, minimizing classification errors by up to 60%."
"A Machine Learning Explanation of the Pathogen-Immune Relationship of SARS-CoV-2 (COVID-19), and a Model to Predict Immunity and Therapeutic Opportunity: A Comparative Effectiveness Research Study.",2020,Eric Luellen,"Approximately 80% of those infected with COVID-19 are immune. They are asymptomatic unknown carriers who can still infect those with whom they come into contact. Understanding what makes them immune could inform public health policies as to who needs to be protected and why, and possibly lead to a novel treatment for those who cannot, or will not, be vaccinated once a vaccine is available."
