,titles,dates
47,"Inference of $R=P(Y<X)$ for two-parameter Rayleigh distribution based on
  progressively censored samples",2017-09-02
48,"MOSAIC_SSD: a new web-tool for the Species Sensitivity Distribution,
  allowing to include censored data by maximum likelihood",2013-11-22
49,"A unified framework for fitting Bayesian semiparametric models to
  arbitrarily censored survival data, including spatially-referenced data",2017-01-24
50,"Maximum Likelihood Estimation for Semiparametric Transformation Models
  with Interval-Censored Data",2016-02-05
51,"Inference of a competing risks model with partially observed failure
  causes under improved adaptive type-II progressive censoring",2021-03-30
52,"Maximum Likelihood Estimation for Semiparametric Regression Models with
  Interval-Censored Multi-State Data",2022-09-16
53,"Global Rates of Convergence of the MLE for Multivariate Interval
  Censoring",2012-10-02
54,"Point and Interval Estimation of Weibull Parameters Based on Joint
  Progressively Censored Data",2017-06-23
55,Quickest Change Detection with a Censoring Sensor in the Minimax Setting,2014-11-12
56,"On the method of pivoting the CDF for exact confidence intervals with
  illustration for exponential mean under life-test with time constraints",2014-02-10
57,Estimation of Inverse Weibull Distribution Under Type-I Hybrid Censoring,2017-07-18
58,"Linking Across Data Granularity: Fitting Multivariate Hawkes Processes
  to Partially Interval-Censored Data",2021-11-03
59,Inference in nonparametric current status models with covariates,2007-10-09
60,"Maximum Approximate Bernstein Likelihood Estimation in Proportional
  Hazard Model for Interval-Censored Data",2019-06-20
61,"Joint latent class model for longitudinal data and interval-censored
  semi-competing events: Application to dementia",2015-06-24
62,"Estimation of Weibull Shape Parameter by Shrinkage Towards an Interval
  Under Failure Censored Sampling",2002-02-26
63,"Penalised maximum likelihood estimation in multistate models for
  interval-censored data",2018-01-19
64,Clustering Interval-Censored Time-Series for Disease Phenotyping,2021-02-13
65,Post-Selection Inference for the Cox Model with Interval-Censored Data,2023-06-24
66,"Partial Linear Cox Model with Deep ReLU Networks for Interval-Censored
  Failure Time Data",2023-07-01
67,"Estimation of Stress-Strength model in the Generalized Linear Failure
  Rate Distribution",2013-12-02
68,"Asymptotically Efficient Estimation of Weighted Average Derivatives with
  an Interval Censored Variable",2013-12-20
69,"Block Adaptive Progressive Type-II Censored Sampling for the Inverted
  Exponentiated Pareto Distribution: Parameter Inference and Reliability
  Assessment",2025-01-21
70,"Regression modelling of interval censored data based on the adaptive
  ridge procedure",2018-12-21
71,Inference for High Dimensional Censored Quantile Regression,2021-07-22
72,Meta-analysis of Censored Adverse Events,2021-01-20
73,Partial Identification of Expectations with Interval Data,2018-02-28
74,Estimating of $P(Y<X)$ in the Exponential case Based on Censored Samples,2008-01-07
75,"Smooth estimation of a monotone hazard and a monotone density under
  random censoring",2015-12-23
76,"Nonparametric M-estimation for right censored regression model with
  stationary ergodic data",2016-04-29
77,"Flexible multi-state models for interval-censored data: specification,
  estimation, and an application to ageing research",2017-03-23
78,Regression discontinuity design with right-censored survival data,2022-10-05
79,"Statistical Analysis of Chen Distribution Under Improved Adaptive
  Type-II Progressive Censoring",2023-04-01
80,"Regression Analysis of Cure Rate Models with Competing Risks Subjected
  to Interval Censoring",2024-12-06
81,On Extreme Value Index Estimation under Random Censoring,2017-09-25
82,On Modeling Bivariate Left Censored Data using Reversed Hazard Rates,2022-12-27
83,"Nonparametric generalized fiducial inference for survival functions
  under censoring",2017-07-17
84,"Personalized Biopsy Schedules Using an Interval-censored Cause-specific
  Joint Model",2022-08-31
85,State occupation probabilities in non-Markov models,2019-05-31
86,"Do Bayesian Neural Networks Improve Weapon System Predictive
  Maintenance?",2023-12-16
87,"Hierarchical Bayesian estimation of inequality measures with
  nonrectangular censored survey data with an application to wealth
  distribution of French households",2011-07-29
88,Empirical Likelihood for Right Censored Lifetime Data,2012-03-27
89,"Statistical inference for dependent competing risks data under adaptive
  Type-II progressive hybrid censoring",2023-04-19
90,"Robust Rao-type tests for step-stress accelerated life-tests under
  interval-monitoring and Weibull lifetime distributions",2024-02-09
91,"Kernel-smoothed conditional quantiles of randomly censored functional
  stationary ergodic data",2013-04-16
92,"Reliability analysis of K-out-of-N system for Weibull components based
  on generalized progressive hybrid censored data",2022-07-26
93,"Estimation of the incubation time distribution in the singly and doubly
  interval censored model",2023-10-06
94,"Cumulative distribution function estimation under interval censoring
  case 1",2008-03-18
95,"On the estimation of average treatment effects with right-censored time
  to event outcome and competing risks",2019-07-30
96,"Shrinkage Estimation and Prediction for Joint Type-II Censored Data from
  Two Burr-XII Populations",2024-01-05
97,Inference for Two Lomax Populations Under Joint Type-II Censoring,2019-12-05
98,Uncertainty quantification for intervals,2024-08-29
99,Analysis of Type-II hybrid censored competing risks data,2017-07-15
100,Prediction Sets and Conformal Inference with Censored Outcomes,2025-01-17
101,On window mean survival time with interval-censored data,2025-02-27
102,"Kernelized Stein Discrepancy Tests of Goodness-of-fit for Time-to-Event
  Data",2020-08-19
103,"Improved Non-parametric Penalized Maximum Likelihood Estimation for
  Arbitrarily Censored Survival Data",2021-08-04
104,Copula Modeling for Data with Ties,2016-12-21
105,"Fine-Gray competing risks model with high-dimensional covariates:
  estimation and Inference",2017-07-29
106,"Estimation of parameters of the logistic exponential distribution under
  progressive type-I hybrid censored sample",2021-02-03
107,"On the order statistics from the XLindley distribution and associated
  inference with an application to fatigue data",2025-02-08
108,Estimation of Component Reliability in Coherent Systems,2017-07-11
109,"A nonparametric relative treatment effect for direct comparisons of
  censored paired survival outcomes",2022-10-11
110,"Likelihood-Based Inference for Semi-Parametric Transformation Cure
  Models with Interval Censored Data",2023-10-24
111,"Nonparametric estimation of a future entry time distribution given the
  knowledge of a past state occupation in a progressive multistate model with
  current status data",2024-05-09
112,Maximum smoothed likelihood estimators for the interval censoring model,2012-03-20
113,"Estimation in Weibull Distribution Under Progressively Type-I Hybrid
  Censored Data",2019-11-11
114,Confidence intervals for high-dimensional Cox models,2018-03-03
115,Two-sided conformalized survival analysis,2024-10-31
116,"HIV dynamics and natural history studies: Joint modeling with doubly
  interval-censored event time and infrequent longitudinal data",2011-05-03
117,"A modified version of the inference function for margins and interval
  estimation for the bivariate Clayton copula SUR Tobit model: An simulation
  approach",2014-04-12
118,"A proportional hazards model for interval-censored data subject to
  instantaneous failures",2018-03-31
119,"A Support Vector Machine Based Cure Rate Model For Interval Censored
  Data",2021-09-02
120,"A Bayesian accelerated failure time model for interval censored
  three-state screening outcomes",2021-10-06
121,"A maximum penalised likelihood approach for semiparametric accelerated
  failure time models with time-varying covariates and partly interval
  censoring",2024-03-19
122,"A Bayesian Joint Modelling for Misclassified Interval-censoring and
  Competing Risks",2024-04-14
123,"Estimating optimal tailored active surveillance strategy under interval
  censoring",2024-05-20
124,"On the Addams family of discrete frailty distributions for modelling
  multivariate case I interval-censored data",2024-06-02
125,"Assessing treatment efficacy for interval-censored endpoints using
  multistate semi-Markov models fit to multiple data streams",2025-01-23
126,Nonparametric (smoothed) likelihood and integral equations,2012-05-09
127,"Confidence Intervals and Simultaneous Confidence Bands Based on Deep
  Learning",2024-06-20
128,"Inconsistency of the MLE for the joint distribution of interval censored
  survival times and continuous marks",2005-09-04
129,"A Comprehensive Framework for Evaluating Time to Event Predictions using
  the Restricted Mean Survival Time",2023-06-28
130,"Variable Selection in Ultra-high Dimensional Feature Space for the Cox
  Model with Interval-Censored Data",2024-05-02
131,"Semiparametric Regression Analysis of Interval-Censored Competing Risks
  Data",2016-02-04
132,"Concave likelihood-based regression with finite-support response
  variables",2022-03-09
133,"Order Restricted Inference for Adaptive Progressively Censored Competing
  Risks Data",2022-05-07
134,"Inference for a Step-Stress Model With Type-II and Progressive Type-II
  Censoring and Lognormally Distributed Lifetimes",2020-05-14
135,"A Bayesian aoristic logistic regression to model spatio-temporal crime
  risk under the presence of interval-censored event times",2023-04-12
136,"A New Family of Regression Models for $[0,1]$ Outcome Data: Expanding
  the Palette",2023-06-07
137,Modelling with Discretized Variables,2024-03-22
138,"How to experimentally probe universal features of absorbing phase
  transitions using steady state",2017-12-15
139,"Bayesian semiparametric inference for multivariate
  doubly-interval-censored data",2011-01-07
140,Learning Hawkes Processes from Short Doubly-Censored Event Sequences,2017-02-22
141,Order Restricted Bayesian Analysis of a Simple Step Stress Model,2017-07-15
142,A maximum-mean-discrepancy goodness-of-fit test for censored data,2018-10-09
143,"Proportional hazards model with partly interval censoring and its
  penalized likelihood estimation",2019-04-15
144,"Nonparametric Bayesian estimation of a concave distribution function
  with mixed interval censored data",2019-09-02
145,"An efficient penalized estimation approach for a semi-parametric linear
  transformation model with interval-censored data",2019-12-25
146,Weighted likelihood estimation under two-phase sampling,2011-12-21
147,"Nonparametric estimation of the conditional density function with
  right-censored and dependent data",2019-07-10
148,"Pseudo-Observations and Super Learner for the Estimation of the
  Restricted Mean Survival Time",2024-04-26
149,A Bayesian Joint Modelling of Current Status and Current Count Data,2024-10-13
150,"Nonparametric Estimation for a Log-concave Distribution Function with
  Interval-censored Data",2024-11-29
151,"Estimating the duration of RT-PCR positivity for SARS-CoV-2 from doubly
  interval censored data with undetected infections",2025-02-07
152,The bivariate current status model,2012-09-04
153,"Hazard rate estimation for location-scale distributions under complete
  and censored data",2012-05-23
154,spBayesSurv: Fitting Bayesian Spatial Survival Models Using R,2017-05-10
155,"Positional uncertainty and quality assurance of digital elevation change
  detection (DECD)",2022-05-15
156,TripleSurv: Triplet Time-adaptive Coordinate Loss for Survival Analysis,2024-01-05
157,Smooth Transformation Models for Survival Analysis: A Tutorial Using R,2024-02-09
158,"Reliability Acceptance Sampling Plans under Progressive Type-I Interval
  Censoring Schemes in Presence of Dependent Competing Risks",2024-11-02
159,Prediction of Future Failures for Heterogeneous Reliability Field Data,2020-11-05
160,"Estimation of parameters of the Gumbel type-II distribution under AT-II
  PHCS with an application of Covid-19 data",2021-03-15
161,"Communication-Efficient Distributed Estimation and Inference for Cox's
  Model",2023-02-23
162,"An accurate percentile method for parametric inference based on
  asymptotically biased estimators",2024-05-08
163,Bandwidth Selection for Weighted Kernel Density Estimation,2007-09-11
164,"Smooth plug-in inverse estimators in the current status continuous mark
  model",2011-02-09
165,Hidden Markov model for discrete circular-linear wind data time series,2017-04-17
166,Censorship Resistance in On-Chain Auctions,2023-01-30
167,"Contrastive Learning of Temporal Distinctiveness for Survival Analysis
  in Electronic Health Records",2023-08-24
168,"Reduction algorithm for the NPMLE for the distribution function of
  bivariate interval censored data",2009-06-17
169,A Censored Bayesian Hierarchical Model For Precipitation,2014-11-09
170,"Semiparametric Sieve Maximum Likelihood Estimation Under Cure Model with
  Partly Interval Censored and Left Truncated Data for Application to
  Spontaneous Abortion Data",2017-08-22
171,Countdown Regression: Sharp and Calibrated Survival Predictions,2018-06-21
172,"Gaussian process regression for survival time prediction with
  genome-wide gene expression",2018-08-30
173,"Efficient Estimation of the Additive Risks Model for Interval-Censored
  Data",2022-03-18
174,"Deep Generative Survival Analysis: Nonparametric Estimation of
  Conditional Survival Function",2022-05-19
175,"Fast Bayesian Inference in Nonparametric Double Additive Location-Scale
  Models With Right- and Interval-Censored Data",2020-05-11
176,"Prediction of remaining life of power transformers based on left
  truncated and right censored lifetime data",2009-08-20
177,Estimating menarcheal age distribution from partially recalled data,2018-10-10
178,Analysis of Left Truncated and Right Censored Competing Risks Data,2020-08-18
179,"Estimating the causal effects of multiple intermittent treatments with
  application to COVID-19",2021-09-27
180,"Improving estimation efficiency of case-cohort study with
  interval-censored failure time data",2023-10-23
181,"Before It's Too Late: A State Space Model for the Early Prediction of
  Misinformation and Disinformation Engagement",2025-02-07
182,"Group lasso priors for Bayesian accelerated failure time models with
  left-truncated and interval-censored data",2024-01-09
183,Maximum Margin Interval Trees,2017-10-11
184,"Approximate Bayesian Bootstrap Procedures to Estimate Multilevel
  Treatment Effects in Observational Studies with Application to Type 2
  Diabetes Treatment Regimens",2020-01-17
185,The Brier Score under Administrative Censoring: Problems and Solutions,2019-12-18
186,Applications of the Fractional-Random-Weight Bootstrap,2018-08-24
187,"A Menu-Driven Software Package of Bayesian Nonparametric (and
  Parametric) Mixed Models for Regression Analysis and Density Estimation",2015-06-17
188,"Bayesian Estimation of Inequalities with Non-Rectangular Censored Survey
  Data",2008-02-28
189,"Addressing Extreme Propensity Scores in Estimating Counterfactual
  Survival Functions via the Overlap Weights",2021-08-10
190,"EDEN : An Event DEtection Network for the annotation of Breast Cancer
  recurrences in administrative claims data",2022-11-15
191,"Interval-censored Transformer Hawkes: Detecting Information Operations
  using the Reaction of Social Systems",2022-11-25
192,"Using Overlap Weights to Address Extreme Propensity Scores in Estimating
  Restricted Mean Counterfactual Survival Times",2023-04-01
193,"High-dimensional Feature Screening for Nonlinear Associations With
  Survival Outcome Using Restricted Mean Survival Time",2023-05-09
194,"A closer look at parameter identifiability, model selection and handling
  of censored data with Bayesian Inference in mathematical models of tumour
  growth",2023-09-23
195,"Joint model for interval-censored semi-competing events and longitudinal
  data with subject-specific within and between visits variabilities",2024-08-13
196,"Linear regression model with a randomly censored predictor:Estimation
  procedures",2017-10-23
197,Convergence rates of posterior distributions for noniid observations,2007-08-03
198,"Should data ever be thrown away? Pooling interval-censored data sets
  with different precision",2022-10-25
199,"Suppressing escape events in maps of the unit interval with demographic
  noise",2016-07-12
200,Specifying Prior Distributions in Reliability Applications,2022-04-12
201,Censored Quantile Regression Forests,2019-02-08
202,On the assumption of independent right censoring,2019-05-07
203,"Nonparametric inference for competing risks current status data with
  continuous, discrete or grouped observation times",2009-09-26
204,Asymptotics for a Class of Dynamic Recurrent Event Models,2014-10-31
205,"Flexible objective Bayesian linear regression with applications in
  survival analysis",2016-05-06
206,Gaussian Processes for Survival Analysis,2016-11-02
207,"Uniform convergence rate of nonparametric maximum likelihood estimator
  for the current status data with competing risks",2019-09-13
208,"Moments of the doubly truncated selection elliptical distributions with
  emphasis on the unified multivariate skew-$t$ distribution",2020-07-29
209,Thurstonian Boltzmann Machines: Learning from Multiple Inequalities,2014-08-01
210,Predicting Times to Event Based on Vine Copula Models,2021-11-13
211,"Bayesian Weapon System Reliability Modeling with Cox-Weibull Neural
  Network",2023-01-04
212,"Robust inference for an interval-monitored step-stress experiment under
  proportional hazards",2024-02-09
213,"A copula-based boosting model for time-to-event prediction with
  dependent censoring",2022-10-10
214,Censored fractional Bernstein derivatives and stochastic processes,2024-06-18
215,"Establishing the Parallels and Differences Between Right-Censored and
  Missing Covariates",2024-09-07
216,"Detection of Increased Time Intervals of Anti-Vaccine Tweets for
  COVID-19 Vaccine with BERT Model",2022-01-12
217,"Time-dynamic inference for non-Markov transition probabilities under
  independent right-censoring",2017-04-11
218,"Robust inference for non-destructive one-shot device testing under
  step-stress model with exponential lifetimes",2022-04-25
219,Critiquing-based Modeling of Subjective Preferences,2021-10-22
220,"Correcting Conditional Mean Imputation for Censored Covariates and
  Improving Usability",2021-09-24
221,"A regression tree approach to identifying subgroups with differential
  treatment effects",2014-10-07
222,"Bayesian linear regression with skew-symmetric error distributions with
  applications to survival analysis",2016-01-10
223,Playtime Measurement with Survival Analysis,2017-01-04
224,"Discrete Weibull generalised additive model: an application to count
  fertility data",2018-01-24
225,"Estimating optimal individualized treatment rules with multistate
  processes",2022-04-20
226,Bayesian Conditional Transformation Models,2020-12-20
227,Bayesian Inference of a Dependent Competing Risk Data,2021-05-01
228,Ensuring valid inference for hazard ratios after variable selection,2021-11-30
229,Bayesian Covariance Structure Modeling of Multi-Way Nested Data,2022-01-25
230,Transformation models for ROC analysis,2022-08-07
231,adjustedCurves: Estimating Confounder-Adjusted Survival Curves in R,2024-02-23
232,"Risk-Adjusted Incidence Modeling on Hierarchical Survival Data with
  Recurrent Events",2022-07-26
233,"Accounting for Time Dependency in Meta-Analyses of Concordance
  Probability Estimates",2022-12-03
234,"Robust inference for an interval-monitored step-stress experiment with
  competing risks for failure",2023-11-07
235,"Doubly Robust and Efficient Calibration of Prediction Sets for Censored
  Time-to-Event Outcomes",2025-01-08
236,"Best practices for estimating and reporting epidemiological delay
  distributions of infectious diseases using public health surveillance and
  healthcare data",2024-05-14
237,Censored linear model in high dimensions,2014-05-03
238,"On the Definition and Existence of an MVU Estimator for Target Location
  Estimation",2015-08-10
239,Nonlinear Kalman Filtering for Censored Observations,2017-02-13
240,"Cautionary note on ""Semiparametric modeling of grouped current duration
  data with preferential reporting'""",2018-01-02
241,"A kernel- and optimal transport- based test of independence between
  covariates and right-censored lifetimes",2019-06-10
242,Censored Stable Subordinators and Fractional Derivatives,2019-06-17
243,Generalized Multi-Output Gaussian Process Censored Regression,2020-09-10
244,"Censor-aware Semi-supervised Learning for Survival Time Prediction from
  Medical Images",2022-05-26
245,Type I-Type II Mixture Censoring Scheme for Lifetime Data Analysis,2023-08-21
246,"Practical Evaluation of Copula-based Survival Metrics: Beyond the
  Independent Censoring Assumption",2025-02-26
247,Proximal Survival Analysis to Handle Dependent Right Censoring,2022-08-15
248,"Maximum Likelihood Estimation for the Weight Lindley Distribution
  Parameters under Different Types of Censoring",2015-03-29
249,Linguistic Characteristics of Censorable Language on SinaWeibo,2018-07-10
250,Quantile Regression under Limited Dependent Variable,2021-12-13
251,Classical and Bayesian statistical methods for low-level metrology,2024-03-01
252,Nonparametric Bayesian Inference on Bivariate Extremes,2009-11-17
253,"A Quantile Variant of the EM Algorithm and Its Applications to Parameter
  Estimation with Interval Data",2012-03-20
254,"A discrete time event-history approach to informative drop-out in
  multivariate latent Markov models with covariates",2013-06-07
255,"Joint modeling of longitudinal drug using pattern and time to first
  relapse in cocaine dependence treatment data",2015-08-21
256,"SQUAREM: An R Package for Off-the-Shelf Acceleration of EM, MM and Other
  EM-like Monotone Algorithms",2018-10-26
257,"Dose Finding Studies for Therapies with Late-Onset Toxicities: A
  Comparison Study of Designs",2021-04-30
258,Bayesian Survival Analysis Using the rstanarm R Package,2020-02-22
259,"Left-Truncated Health Insurance Claims Data: Theoretical Review and
  Empirical Application",2021-03-09
260,"An Augmented Likelihood Approach for the Discrete Proportional Hazards
  Model Using Auxiliary and Validated Outcome Data -- with Application to the
  HCHS/SOL Study",2021-11-24
261,A framework for meta-analysis through standardized survival curves,2021-11-25
262,Zero-inflated Beta distribution regression modeling,2021-12-14
263,"Efficient Estimation of the Maximal Association between Multiple
  Predictors and a Survival Outcome",2021-12-21
264,"Efficient estimation of partially linear additive Cox models and
  variance estimation under shape restrictions",2024-07-09
265,"Inference procedures in sequential trial emulation with survival
  outcomes: comparing confidence intervals based on the sandwich variance
  estimator, bootstrap and jackknife",2024-07-11
266,"A Finite Mixture Hidden Markov Model for Intermittently Observed Disease
  Process with Heterogeneity and Partially Known Disease Type",2024-10-07
267,Left-truncated discrete lifespans: The AFiD enterprise panel,2024-11-19
268,A Tractable Approach for Queueing Analysis on Buffer-Aware Scheduling,2024-12-25
269,Mixed models for longitudinal left-censored repeated measures,2007-05-04
270,"Testing Exponentiality Based on Rényi Entropy With Progressively
  Type-II Censored Data",2013-03-22
271,Censoring Diffusion for Harvesting WSNs,2015-09-29
272,Deep Learning for Survival Outcomes,2019-04-23
273,"A new goodness of fit test for gamma distribution with censored
  observations",2021-08-01
274,Kalman Filtering With Censored Measurements,2020-02-20
275,On a Model for Bivariate Left Censored Data,2022-12-26
276,Learning Mixtures of Gaussians with Censored Data,2023-05-06
277,Doubly robust inference with censoring unbiased transformations,2024-11-07
278,Doubly Robust Conformalized Survival Analysis with Right-Censored Data,2024-12-12
279,Dual divergences estimation for censored survival data,2011-06-14
280,The Data-Driven Censored Newsvendor Problem,2024-12-02
281,"Semiparametric estimation of structural failure time model in
  continuous-time processes",2018-08-20
282,Censored Quantile Regression Forest,2020-01-08
283,A Dataset of State-Censored Tweets,2021-01-15
284,"Hybrid Censored Quantile Regression Forest to Assess the Heterogeneous
  Effects",2022-12-12
285,Algorithmic Censoring in Dynamic Learning Systems,2023-05-15
286,"Benchmarking Observational Studies with Experimental Data under
  Right-Censoring",2024-02-23
287,Generalization Error Bounds for Learning under Censored Feedback,2024-04-14
288,"Copula-based semiparametric nonnormal transformed linear model for
  survival data with dependent censoring",2024-06-05
289,"Bounding causal effects with an unknown mixture of informative and
  non-informative censoring",2024-11-25
290,"A comparison of Kaplan--Meier-based inverse probability of censoring
  weighted regression methods",2024-12-10
291,Beyond first-order asymptotics for Cox regression,2015-04-13
292,"Robust Wald-Type Tests under Random Censoring with Applications to
  Clinical Trial Analyses",2017-08-31
293,"Communication-Censored Linearized ADMM for Decentralized Consensus
  Optimization",2019-09-15
294,Linguistic Fingerprints of Internet Censorship: the Case of SinaWeibo,2020-01-23
295,"New classes of tests for the Weibull distribution using Stein's method
  in the presence of random right censoring",2021-05-19
296,"Doubly Robust Inference for Hazard Ratio under Informative Censoring
  with Machine Learning",2022-06-06
297,"Extrapolation before imputation reduces bias when imputing censored
  covariates",2022-09-10
298,"Neural Bayes estimators for censored inference with peaks-over-threshold
  models",2023-06-27
299,"Computationally Scalable Bayesian SPDE Modeling for Censored Spatial
  Responses",2024-03-23
300,"Statistically and computationally efficient conditional mean imputation
  for censored covariates",2024-10-14
301,"Heterogeneous Treatment Effect in Time-to-Event Outcomes: Harnessing
  Censored Data with Recursively Imputed Trees",2025-02-03
302,Imputation Strategies for Rightcensored Wages in Longitudinal Datasets,2025-02-18
303,Learning from Censored and Dependent Data: The case of Linear Dynamics,2021-04-11
304,"A tutorial on evaluating time-varying discrimination accuracy for
  survival models used in dynamic decision-making",2017-06-29
305,"Randomized Empirical Processes by Algebraic Groups, and Tests for Weak
  Null Hypotheses",2019-12-17
306,"Trends in risks of severe events and lengths of stay for COVID-19
  hospitalisations in England over the pre-vaccination era: results from the
  Public Health England SARI-Watch surveillance scheme",2021-03-08
307,"A decomposition of Fisher's information to inform sample size for
  developing fair and precise clinical prediction models -- Part 2:
  time-to-event outcomes",2025-01-24
308,"Testing hypotheses in the Birnbaum-Saunders distribution under type-II
  censored samples",2010-09-10
309,Bayesian Optimization With Censored Response Data,2013-10-07
310,"A nonparametric model-based estimator for the cumulative distribution
  function of a right censored variable in a finite population",2013-10-22
311,"Online Censoring for Large-Scale Regressions with Application to
  Streaming Big Data",2015-07-27
312,"Survival trees for left-truncated and right-censored data, with
  application to time-varying covariate data",2016-06-09
313,"Tree based weighted learning for estimating individualized treatment
  rules with censored data",2017-07-30
314,A Class of Tests for Trend in Time Censored Recurrent Event Data,2018-02-22
315,"Self-reporting and screening: Data with current-status and censored
  observations",2018-03-06
316,"The Adaptive Tobit Kalman Filter: Tracking Position with Censored
  Measurements in the IoT",2019-09-12
317,Adaptive design for Gaussian process regression under censoring,2019-10-12
318,"SMIM: a unified framework of Survival sensitivity analysis using
  Multiple Imputation and Martingale",2020-07-05
319,"Principled Selection of Baseline Covariates to Account for Censoring in
  Randomized Trials with a Survival Endpoint",2020-07-16
320,"Regression with a right-censored predictor, using inverse probability
  weighting methods",2020-08-18
321,"Survival Estimation for Missing not at Random Censoring Indicators based
  on Copula Models",2020-09-03
322,Analysis of regression discontinuity designs using censored data,2019-08-09
323,Balanced Policy Evaluation and Learning for Right Censored Data,2019-11-13
324,Extremes of Censored and Uncensored Lifetimes in Survival Data,2020-02-26
325,"GTH Algorithm, Censored Markov Chains, and $RG$-Factorization",2021-01-27
326,Splitting the Sample at the Largest Uncensored Observation,2021-03-01
327,Conformalized Survival Analysis,2021-03-17
328,U-Statistics for Left Truncated and Right Censored Data,2021-11-13
329,"A Model for Censored Reliability Data with Two Dependent Failure Modes
  and Prediction of Future Failures",2022-06-26
330,"Testing Independence of Bivariate Censored Data using Random Walk on
  Restricted Permutation Graph",2022-07-11
331,"Minimum message length inference of the Weibull distribution with
  complete and censored data",2022-09-29
332,"Selection of the Optimal Personalized Treatment from Multiple Treatments
  with Right-censored Multivariate Outcome Measures",2022-09-29
333,Censored Regression with Serially Correlated Errors: a Bayesian approach,2023-01-04
334,"Exploring the validity of the complete case analysis for regression
  models with a right-censored covariate",2023-03-28
335,Control Chart for Generalized Weibull Quantiles under Hybrid Censoring,2023-09-21
336,"Modeling lower-truncated and right-censored insurance claims with an
  extension of the MBBEFD class",2023-10-16
337,Bayesian Active Learning for Censored Regression,2024-02-19
338,Robust Evaluation of Longitudinal Surrogate Markers with Censored Data,2024-02-26
