,titles,dates
73,"Bayesian Parametric Methods for Deriving Distribution of Restricted Mean
  Survival Time",2024-06-10
74,"Dynamical modelling of the frailty index indicates that health reaches a
  tipping point near age 75",2024-12-02
75,Asymptotics for a Class of Dynamic Recurrent Event Models,2014-10-31
76,Regression Modeling for Recurrent Events Using R Package reReg,2021-04-23
77,The Bernstein-von Mises theorem for Semiparametric Mixtures,2024-11-29
78,"Comparisons of coherent systems under the time-transformed exponential
  model",2024-12-12
79,Bayesian survival analysis with BUGS,2020-05-12
80,"Frailty or Frailties: Exploring Frailty Index Subdimensions in the
  English Longitudinal Study of Ageing",2024-03-01
81,A flexible adaptive lasso Cox frailty model based on the full likelihood,2020-03-31
82,Intermediate Tail Dependence: A Review and Some New Results,2012-12-04
83,Mixed Effect Modeling and Variable Selection for Quantile Regression,2021-04-17
84,"Copula-Frailty Models for Recurrent Event Data Based on Monte Carlo EM
  Algorithm",2021-06-09
85,"Variable selection in the joint frailty model of recurrent and terminal
  events using Broken Adaptive Ridge regression",2024-08-30
86,A Bayesian Joint Modelling of Current Status and Current Count Data,2024-10-13
87,"Case-Control Survival Analysis with a General Semiparametric Shared
  Frailty Model - a Pseudo Full Likelihood Approach",2007-03-11
88,"A form of multivariate Pareto distribution with applications to
  financial risk measurement",2016-07-16
89,"Bayesian Nonparametric Inference for Panel Count Data with an
  Informative Observation Process",2017-09-15
90,"A frailty-contagion model for multi-site hourly precipitation driven by
  atmospheric covariates",2014-08-19
91,"AI Age Discrepancy: A Novel Parameter for Frailty Assessment in Kidney
  Tumor Patients",2024-06-29
92,Sibuya copulas,2010-08-13
93,"Around the goal: Examining the effect of the first goal on the second
  goal in soccer using survival analysis methods",2012-07-29
94,Using a Penalized Likelihood to Detect Mortality Deceleration,2023-01-07
95,"Age-Associated Disorders As A Proxy Measure Of Biological Age: Findings
  From the NLTCS Data",2005-09-25
96,Model risk on credit risk,2015-02-17
97,"Multivariate Survival Mixed Models for Genetic Analysis of Longevity
  Traits",2013-03-04
98,"A Bayesian Hierarchical Modeling Approach to Dietary Assessment via Food
  Frequency",2007-01-12
99,Bayesian Survival Analysis Using the rstanarm R Package,2020-02-22
100,Penalised complexity priors for stationary autoregressive processes,2016-08-31
101,Cross-validatory Z-Residual for Diagnosing Shared Frailty Models,2023-03-16
102,"Classification Algorithm for High Dimensional Protein Markers in
  Time-course Data",2019-07-30
103,"A Bayesian shared-frailty spatial scan statistic model for time-to-event
  data",2022-09-01
104,"The Cox-Polya-Gamma Algorithm for Flexible Bayesian Inference of
  Multilevel Survival Models",2024-02-23
105,"Formalizing the causal interpretation in accelerated failure time models
  with unmeasured heterogeneity",2024-09-03
106,"Penalized Estimation of Frailty-Based Illness-Death Models for
  Semi-Competing Risks",2022-02-01
107,"Survivor average causal effects for continuous time: a principal
  stratification approach to causal inference with semicompeting risks",2019-02-15
108,Heavy-tailed phase-type distributions: A unified approach,2021-07-19
109,"Bayesian Stacked Parametric Survival with Frailty Components and
  Interval Censored Failure Times",2019-08-29
110,"Surrogacy Validation for Time-to-Event Outcomes with Illness-Death
  Frailty Models",2022-11-28
111,"Marginalized Frailty-Based Illness-Death Model: Application to the
  UK-Biobank Survival Data",2019-05-27
112,Alleviating Spatial Confounding in Spatial Frailty Models,2020-08-16
113,"A Competing Risks Model with Binary Time Varying Covariates for
  Estimation of Breast Cancer Risks in BRCA1 Families",2020-02-12
114,"Bayesian semi-parametric inference for clustered recurrent events with
  zero-inflation and a terminal event/4163305",2022-02-14
115,"Recurrent Events Modeling Based on a Reflected Brownian Motion with
  Application to Hypoglycemia",2024-03-14
116,"Mandating Code Disclosure is Unnecessary -- Strict Model Verification
  Does Not Require Accessing Original Computer Code",2021-05-11
117,"Penalized Variable Selection with Broken Adaptive Ridge Regression for
  Semi-competing Risks Data",2022-11-17
118,On the ranking of Test match batsmen,2018-06-14
119,"A novel approach for modelling and classifying sit-to-stand kinematics
  using inertial sensors",2021-07-14
120,"On models for the estimation of the excess mortality hazard in case of
  insufficiently stratified life tables",2019-04-18
121,"Efficient Estimation of Mixture Cure Frailty Model for Clustered Current
  Status Data",2019-12-01
122,Spatial Modelling of Emergency Service Response Times,2015-03-26
123,"Towards Filling the Gaps around Recurrent Events in High-Dimensional
  Framework: Literature Review and Early Comparison",2022-03-29
124,When Composite Likelihood Meets Stochastic Approximation,2023-10-06
125,Premise Order Matters in Reasoning with Large Language Models,2024-02-14
126,"Limit distributions of the upper order statistics for the Lévy-frailty
  Marshall-Olkin distribution",2018-11-14
127,"Analyzing Highly Correlated Chemical Toxicants Associated with Time to
  Pregnancy Using Discrete Survival Frailty Modeling Via Elastic Net",2021-12-06
128,Survival Data Simulation With the R Package rsurv,2024-06-03
129,"Generic solution of the heterogeneity-induced competing risk problem in
  survival analysis",2013-06-30
130,"Practical survival analysis tools for heterogeneous cohorts and
  informative censoring",2015-11-21
131,"Left-censored recurrent event analysis in epidemiological studies: a
  proposal when the number of previous episodes is unknown",2021-02-22
132,"PDXpower: A Power Analysis Tool for Experimental Design in Pre-clinical
  Xenograft Studies for Uncensored and Censored Outcomes",2024-04-13
133,"Otago Exercises Monitoring for Older Adults by a Single IMU and
  Hierarchical Machine Learning Models",2023-10-05
134,Batch-Based Activity Recognition from Egocentric Photo-Streams,2017-08-25
135,"Inverse Probability Weighted Estimators of Vaccine Effects Accommodating
  Partial Interference and Censoring",2019-10-08
136,"A sensitivity analysis approach for the causal hazard ratio in
  randomized and observational studies",2022-02-24
137,Real is not True: Backdoor Attacks Against Deepfake Detection,2024-03-11
138,"Fast variational Bayesian inference for correlated survival data: an
  application to invasive mechanical ventilation duration analysis",2024-07-31
139,"Bias of the additive hazard model in the presence of causal effect
  heterogeneity",2022-10-29
140,Won't Get Fooled Again: Answering Questions with False Premises,2023-07-05
141,"Prediction Regions for Poisson and Over-Dispersed Poisson Regression
  Models with Applications to Forecasting Number of Deaths during the COVID-19
  Pandemic",2020-07-04
142,"A Multivariate Methodology for Analysing Students' Performance Using
  Register Data",2021-02-21
143,"Risk-Adjusted Incidence Modeling on Hierarchical Survival Data with
  Recurrent Events",2022-07-26
144,"Consistent iterated simulation of multi-variate default times: a
  Markovian indicators characterization",2013-06-04
145,Network model of human aging: frailty limits and information measures,2016-11-05
146,"Automated Coding of Under-Studied Medical Concept Domains: Linking
  Physical Activity Reports to the International Classification of Functioning,
  Disability, and Health",2020-11-27
147,The built-in selection bias of hazard ratios formalized,2022-10-29
148,A Graph Framework for Multimodal Medical Information Processing,2016-07-30
149,Hierarchical Archimax copulas,2017-07-03
150,State of the Art of Audio- and Video-Based Solutions for AAL,2022-06-26
151,"Frailty Care Robot for Elderly and Its Application for Physical and
  Psychological Support",2021-11-20
152,"Benchmarking Neural Network Robustness to Common Corruptions and Surface
  Variations",2018-07-04
153,Blockchain-enabled Internet of Medical Things to Combat COVID-19,2020-08-23
154,"Home monitoring for frailty detection through sound and speaker
  diarization analysis",2023-08-17
155,Design Limits on Large Space Stations,2024-07-31
156,"Examining Popular Arguments Against AI Existential Risk: A Philosophical
  Analysis",2025-01-07
157,"Frailty Index as a Major Indicator of Aging Processes and Mortality in
  Elderly: Results From Analyses of the National Long Term Care Survey Data",2005-09-27
158,"Explicit solution of an inverse first-passage time problem for Lévy
  processes and counterparty credit risk",2013-06-12
159,"Estimating restricted mean job tenures in semi-competing risk data
  compensating victims of discrimination",2013-11-28
160,"Use of Emergency Departments by Frail Elderly Patients: Temporal
  Patterns and Case Complexity",2019-06-13
161,"Enhancing Voluntary Motion with Modular, Backdrivable, Powered Hip and
  Knee Orthoses",2021-10-04
162,"Novel methods for estimating the instantaneous and overall COVID-19 case
  fatality risk among care home residents in England",2022-02-15
163,"Breaking Boundaries: A Chronology with Future Directions of Women in
  Exercise Physiology Research, Centred on Pregnancy",2024-04-12
164,"Meal-taking activity monitoring in the elderly based on sensor data:
  Comparison of unsupervised classification methods",2024-09-04
165,"Edit Distances and Their Applications to Downstream Tasks in Research
  and Commercial Contexts",2024-10-08
166,"Limiting behavior of mixed coherent systems with Lévy-frailty
  Marshall-Olkin failure times",2025-01-08
167,Bayes Multiple Decision Functions,2011-09-30
168,"Stochastic Database Cracking: Towards Robust Adaptive Indexing in
  Main-Memory Column-Stores",2012-03-01
169,"Please, do not decentralize the Internet with (permissionless)
  blockchains!",2019-04-30
170,"Whether the Health Care Practices For the Patients With Comorbidities
  Have Changed After the Outbreak of COVID-19; Big Data Public Sentiment
  Analysis",2021-04-20
171,Spectral (in)stability of quasinormal modes and strong cosmic censorship,2023-07-20
172,"Non Proportional Odds Models are Widely Dispensable -- Sparser Modeling
  based on Parametric and Additive Location-Shift Approaches",2020-06-06
173,On the Structure of Ordered Latent Trait Models,2019-06-10
174,"Bayesian model averaging in model-based clustering and density
  estimation",2015-06-30
175,Relational Models,2016-09-11
176,"Hybrid Predictive Model: When an Interpretable Model Collaborates with a
  Black-box Model",2019-05-10
177,A Taxonomy of Polytomous Item Response Models,2020-10-03
178,Automated Statistical Model Discovery with Language Models,2024-02-27
179,"Exploring Actions, Interactions and Challenges in Software Modelling
  Tasks: An Empirical Investigation with Students",2024-09-20
180,"A Physics Enhanced Residual Learning (PERL) Framework for Vehicle
  Trajectory Prediction",2023-09-26
181,Top-down Transformation Choice,2017-06-26
182,"Evaluating Model Testing and Model Checking for Finding Requirements
  Violations in Simulink Models",2019-05-09
183,Quantum spherical model,2012-12-17
184,"Comparative Analysis of Machine Learning Models for Predicting Travel
  Time",2021-11-16
185,Bethe Ansatz in Stringy Sigma Models,2006-03-06
186,Model companions of theories with an automorphism,1998-09-30
187,Links Between Different Models for Multifragmentation,1996-07-11
188,Model Validation in Ontology Based Transformations,2012-10-23
189,Model selection criteria for nonlinear mixed effects modeling,2014-02-24
190,Model Selection for Explosive Models,2017-03-08
191,"Prospects for Declarative Mathematical Modeling of Complex Biological
  Systems",2018-04-30
192,"Comparing Semi-Parametric Model Learning Algorithms for Dynamic Model
  Estimation in Robotics",2019-06-27
193,Trust the Model When It Is Confident: Masked Model-based Actor-Critic,2020-10-10
194,Abstract models for heat engines,2020-10-12
195,"Towards Automatic Support of Software Model Evolution with Large
  Language~Models",2023-12-19
196,An Anisotropic Constitutive Relationship by a Series of 8 Chain Models,2024-03-23
197,Compressed models are NOT miniature versions of large models,2024-07-18
198,Learning-based Models for Vulnerability Detection: An Extensive Study,2024-08-14
199,Multi-species count transformation models,2022-01-31
200,"Supporting Bayesian modelling workflows with iterative filtering for
  multiverse analysis",2024-04-02
201,Concurrent Approach to Flynn's SPMD Classification through Java,2010-03-07
202,Microgrid - The microthreaded many-core architecture,2013-09-21
203,Multiscale sequence modeling with a learned dictionary,2017-07-03
204,"Predicting the Output From a Stochastic Computer Model When a
  Deterministic Approximation is Available",2019-02-04
205,Optimal designs for model averaging in non-nested models,2019-04-02
206,Non-parametric Bayesian modeling of complex networks,2013-12-20
207,Measures of Model Risk in Continuous-time Finance Models,2020-10-16
208,Model Complexity of Deep Learning: A Survey,2021-03-08
209,"Rethinking the Knowledge Distillation From the Perspective of Model
  Calibration",2021-10-31
210,"Extended Asymptotic Identifiability of Nonparametric Item Response
  Models",2023-10-31
211,"Historia Magistra Vitae: Dynamic Topic Modeling of Roman Literature
  using Neural Embeddings",2024-06-27
212,"Equality conditions for internal entropies of certain classical and
  quantum models",2011-08-26
213,Staged Models for Interdisciplinary Research,2016-04-04
214,Temporal Difference Models: Model-Free Deep RL for Model-Based Control,2018-02-25
215,Shot Noise Neuron Model,2018-07-04
216,Push-pull direct modeling of solid CAD models,2018-11-05
217,"Dynamic Fusion: Attentional Language Model for Neural Machine
  Translation",2019-09-11
218,"Model-Agnostic Linear Competitors -- When Interpretable Models Compete
  and Collaborate with Black-Box Models",2019-09-23
219,Hybrid modeling: Applications in real-time diagnosis,2020-03-04
220,"Equivalence of Segmental and Neural Transducer Modeling: A Proof of
  Concept",2021-04-13
221,"Mathematical modelling by help of category theory: models and relations
  between them",2021-08-13
222,FedMe: Federated Learning via Model Exchange,2021-10-15
223,"Development of a Mathematical Model for Harbor-Maneuvers to Realize
  Modeling Automation",2023-02-21
224,MGit: A Model Versioning and Management System,2023-07-14
225,Critique-out-Loud Reward Models,2024-08-21
226,"Posterior Mean Matching: Generative Modeling through Online Bayesian
  Inference",2024-12-17
227,Model Provenance via Model DNA,2023-08-04
228,A Complete Enumeration and Classification of Two-Locus Disease Models,1999-08-05
229,Reusing Deep Neural Network Models through Model Re-engineering,2023-04-01
230,Security and Privacy Challenges in Deep Learning Models,2023-11-23
231,"A global optimization SAR image segmentation model can be easily
  transformed to a general ROF denoising model",2023-12-08
232,"Towards Fundamentally Scalable Model Selection: Asymptotically Fast
  Update and Selection",2024-06-11
233,"Mathematical Modeling of Aerodynamic Space -to - Surface Flight with
  Trajectory for Avoid Intercepting Process for Safety and Security Issues",2009-08-22
234,Model Theory,2012-08-06
235,"Learning to Make Predictions In Partially Observable Environments
  Without a Generative Model",2014-01-16
236,Convergence of a Moran model to Eigen's quasispecies model,2014-04-08
237,"Parameter inference and model selection in deterministic and stochastic
  dynamical models via approximate Bayesian computation: modeling a wildlife
  epidemic",2014-09-26
238,Model Selection Confidence Sets by Likelihood Ratio Testing,2017-09-13
239,Normality of the Kimura 3-parameter model,2019-02-28
240,"A Proposal for an Open Logistics Interconnection Reference Model for a
  Physical Internet",2019-04-10
241,Assessing the Significance of Model Selection in Ecology,2020-04-16
242,"CAMERO: Consistency Regularized Ensemble of Perturbed Language Models
  with Weight Sharing",2022-04-13
243,"Metabolite mediated modeling of microbial community dynamics captures
  emergent behavior more effectively than species-species modeling",2019-07-09
244,"The eta-beta model model: an alternative to the power-law model for
  numerical simulations of REBCO tapes",2021-06-21
245,"A General Formulation for Evaluating the Performance of Linear Power
  Flow Models",2021-10-31
246,Multi-Model Probabilistic Programming,2022-08-12
247,"Are You Stealing My Model? Sample Correlation for Fingerprinting Deep
  Neural Networks",2022-10-21
248,Mortality modeling at old-age: a mixture model approach,2023-01-04
249,"How to Fine-tune the Model: Unified Model Shift and Model Bias Policy
  Optimization",2023-09-22
250,Induced Model Matching: How Restricted Models Can Help Larger Ones,2024-02-19
251,"Model Compression Method for S4 with Diagonal State Space Layers using
  Balanced Truncation",2024-02-25
252,FedTrans: Efficient Federated Learning via Multi-Model Transformation,2024-04-21
253,Mixed-resolution hybrid modeling in an element-based framework,2024-06-17
254,"Multi-Model based Federated Learning Against Model Poisoning Attack: A
  Deep Learning Based Model Selection for MEC Systems",2024-09-12
255,"Beyond Bradley-Terry Models: A General Preference Model for Language
  Model Alignment",2024-10-03
256,"RM-Bench: Benchmarking Reward Models of Language Models with Subtlety
  and Style",2024-10-21
257,"DeepCore: Simple Fingerprint Construction for Differentiating Homologous
  and Piracy Models",2024-11-01
258,Model Provenance Testing for Large Language Models,2025-02-02
259,Multipole Expansion Model in Gravitational Lensing,1997-01-31
260,Coupled Critical Models: Applications to Ising-Potts Models,1997-05-28
261,"Comment on ""The Glassy Potts Model""",1998-07-20
262,Some Physics Beyond the Standard Model at Gamma Gamma Colliders,2004-08-18
263,Diffractive processes at high energies,2004-09-11
264,"Is the Chiral Model equivalent to Wess-Zumino-Witten Model when coupled
  with Gravity?",1996-03-21
265,Reduction of Anyons to One Dimension and Calogero-Sutherland-type Models,1998-04-21
266,Chiral String-Soliton Model for the light chiral baryons,2010-08-16
267,The Thomsen model of inserts in sandwich composites: An evaluation,2010-09-28
268,Decomposition and Identification of Linear Structural Equation Models,2015-08-07
269,"A Weighted Model Confidence Set: Applications to Local and Mixture Model
  Confidence Sets",2017-01-19
270,"Model Sketching by Abstraction Refinement for Lifted Model Checking
  (Extended Version)",2021-12-21
271,Better Language Models with Model Merging,1996-04-17
272,"Aggregate and mixed-order Markov models for statistical language
  processing",1997-06-09
273,"Forest-fire models as a bridge between different paradigms in
  Self-Organized Criticality",1999-09-01
274,Yet another hysteresis model,2001-03-27
275,"The exact equivalence of the one-flavour lattice Thirring model with
  Wilson fermions to a two-colour loop model",1996-11-06
276,"Using ATL to define advanced and flexible constraint model
  transformations",2010-02-16
277,Supersymmetry and DLCQ Limit of Lie 3-algebra Model of M-theory,2011-10-13
278,A relationship between two graphical models of the Kauffman polynomial,2012-03-28
279,Information and Estimation over Binomial and Negative Binomial Models,2012-07-31
280,"Structure and Parameter Learning for Causal Independence and Causal
  Interaction Models",2013-02-06
281,Causal Modeling,2013-03-06
282,"A simple phenomenological model for describing the normal state single
  particle spectral function of high temperature superconductors",2015-12-17
283,Vector models and generalized SYK models,2017-04-13
284,"Disfluency Detection using a Noisy Channel Model and a Deep Neural
  Language Model",2018-08-28
285,"What do character-level models learn about morphology? The case of
  dependency parsing",2018-08-28
286,"Model Selection for Simulator-based Statistical Models: A Kernel
  Approach",2019-02-07
287,"Uncertainty Quantification in Friction Model for Earthquakes using
  Bayesian inference",2021-04-19
288,A Review of Latent Space Models for Social Networks,2020-12-03
289,An Empirical Investigation of Multi-bridge Multilingual NMT models,2021-10-14
290,Goldstino Condensation?,2022-06-09
291,Lattice Models of Random Geometries,1997-12-03
292,A novel left-right symmetric model,1994-11-24
293,Efron's curvature of the structural gradient model,2010-09-22
294,"A Note on an R^2 Measure for Fixed Effects in the Generalized Linear
  Mixed Model",2010-11-01
295,The Potts and random-cluster models,2014-12-08
296,Analysis of Discrete Choice Models: A Welfare-Based Framework,2015-03-06
297,Dynamical Systems Analysis of Various Dark Energy Models,2015-11-25
298,The Cartan Model for Equivariant Cohomology,2016-08-12
299,"A Conceptual Approach to Complex Model Management with Generalized
  Modelling Patterns and Evolutionary Identification",2018-09-12
300,Probabilistic Relational Agent-based Models,2019-02-15
301,Bicycle Longitudinal Motion Modeling,2020-08-10
302,TMUML: A Singular TM Model with UML Use Cases and Classes,2021-07-01
303,Foresight AND Hindsight,2020-12-27
304,On the Hodge embedding for PEL type integral models of Shimura varieties,2021-11-08
305,Get a Model! Model Hijacking Attack Against Machine Learning Models,2021-11-08
306,Saturated Models for the Working Model Theorist,2021-12-06
307,"Seeds Don't Lie: An Adaptive Watermarking Framework for Computer Vision
  Models",2022-11-24
308,EPIK: Eliminating multi-model Pipelines with Knowledge-distillation,2022-11-27
309,"Epidemic Modeling using Hybrid of Time-varying SIRD, Particle Swarm
  Optimization, and Deep Learning",2024-01-31
310,"Model Compression and Efficient Inference for Large Language Models: A
  Survey",2024-02-15
311,Understanding the decision-making process of choice modellers,2024-11-03
312,"The Mechanical Threshold Stress model for various tempers of AISI 4340
  steel",2005-10-13
313,"Optimization of coarse-grained models: matching probability density in
  conformational space",2009-11-18
314,Model Selection Principles in Misspecified Models,2010-05-29
315,"Empirical Evaluation of the Proposed eXScrum Model: Results of a Case
  Study",2012-02-12
316,"Estimating Quantile Families of Loss Distributions for Non-Life
  Insurance Modelling via L-moments",2016-03-03
317,First Principles Attempt to Unify some Population Growth Models,2016-05-20
318,Benchmark Dose Estimation using a Family of Link Functions,2016-12-21
319,"A comparable study of modeling units for end-to-end Mandarin speech
  recognition",2018-05-10
320,"Requirements and Assessment of Languages and Frameworks for Adaptation
  Models",2018-05-17
321,"Quantifying the Model Risk Inherent in the Calibration and Recalibration
  of Option Pricing Models",2018-10-22
322,"Distilling Black-Box Travel Mode Choice Model for Behavioral
  Interpretation",2019-10-30
323,Using reference models in variable selection,2020-04-27
324,"Autoregressive Density Modeling with the Gaussian Process Mixture
  Transition Distribution",2020-07-17
325,"A Scalable Querying Scheme for Memory-efficient Runtime Models with
  History",2020-08-10
326,"A linearized framework and a new benchmark for model selection for
  fine-tuning",2021-01-29
327,"A new certified hierarchical and adaptive RB-ML-ROM surrogate model for
  parametrized PDEs",2022-04-28
328,The $\mathbf{Q}$-tensor Model with Uniaxial Constraint,2020-01-09
329,"Balancing spatial and non-spatial variation in varying coefficient
  modeling: a remedy for spurious correlation",2020-05-20
330,"Extending Models Via Gradient Boosting: An Application to Mendelian
  Models",2021-05-13
331,A generalized configuration model with triadic closure,2021-05-25
332,"ModelDiff: Testing-Based DNN Similarity Comparison for Model Reuse
  Detection",2021-06-11
333,"Communication Pattern Models: An Extension of Action Models for
  Dynamic-Network Distributed Systems",2021-06-22
334,"Software Engineering Meets Systems Engineering: Conceptual Modeling
  Applied to Engineering Operations",2021-10-26
335,Classifying Emails into Human vs Machine Category,2021-12-14
336,Modeling Sparse Data Using MLE with Applications to Microbiome Data,2021-12-27
337,Out-of-Domain Semantics to the Rescue! Zero-Shot Hybrid Retrieval Models,2022-01-25
338,"Structural identifiability of compartmental models for infectious
  disease transmission is influenced by data type",2022-06-08
339,Equivalence of SS-based MPC and ARX-based MPC,2022-08-31
340,"Multifold Cross-Validation Model Averaging for Generalized Additive
  Partial Linear Models",2022-12-05
341,"Simultaneous identification of models and parameters of scientific
  simulators",2023-05-24
342,Multistep Consistency Models,2024-03-11
343,Accelerating Ensemble Error Bar Prediction with Single Models Fits,2024-04-15
344,Octopus v4: Graph of language models,2024-04-30
345,"BayesBlend: Easy Model Blending using Pseudo-Bayesian Model Averaging,
  Stacking and Hierarchical Stacking in Python",2024-04-30
346,"Learnable & Interpretable Model Combination in Dynamical Systems
  Modeling",2024-06-12
347,Dynamic Provisioning of REST APIs for Model Management,2024-06-24
348,Vector AutoRegressive Moving Average Models: A Review,2024-06-28
349,NVC-1B: A Large Neural Video Coding Model,2024-07-28
350,"Area under the ROC Curve has the Most Consistent Evaluation for Binary
  Classification",2024-08-19
351,"Pareto Merging: Multi-Objective Optimization for Preference-Aware Model
  Merging",2024-08-22
352,Bayesian CART models for aggregate claim modeling,2024-09-03
